metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.061635,0.0,0.06163530451179566,,,,
A2_abs_r_q95_error,0.000715,0.0,0.000715184144012438,,,,
A3_abs_r_q99_error,0.001096,0.0,0.001096430180248284,,,,
A4_tail_qq_error,0.000697,0.0,0.0006967125565437955,,,,
A5_hill_tail_index_error,4.729986,0.0,4.7299860541828025,,,,
A6_path_mmd2,0.005086,0.0,0.0050864150792674645,,,,
A7_terminal_mmd2,0.005589,0.0,0.005589429638443,,,,
A8_increment_mmd2,0.002312,0.0,0.0023116594315517602,,,,
A9_volatility_mmd,0.046746,0.0,0.046746300970804955,,,,
A10_terminal_swd,1.396566,0.0,1.3965657614223597,,,,
A11_path_swd,1.027398,0.0,1.027398415800624,,,,
A12_rv_law_loss,0.310691,0.0,0.3106913129016602,,,,
A13_mean_path_rmse,0.288976,0.0,0.2889758855805008,,,,
A14_ks_logreturns,0.007772,0.0,0.007772130290354312,,,,
A15_skewness_error,0.015874,0.0,0.015873512953028066,,,,
A16_qq_rmse,0.000356,0.0,0.0003561513135918285,,,,
A17_terminal_ks,0.040039,0.0,0.0400390625,,,,
A18_disc_score_gru,0.028371,0.0,0.028371,,,,
A18_disc_score_mlp,0.098536,0.0,0.098536,,,,
A19_pred_score_gru,0.056432,0.0,0.056432,,,,
A19_pred_score_mlp,0.056375,0.0,0.056375,,,,
A20_cov_error,5.917092,0.0,5.917091787600782,,,,
A21_acf_abs,0.014457,0.0,0.014457030251691417,,,,
A22_acf_sq,0.013746,0.0,0.013746481768324744,,,,
A23_acf_lag1_abs_error,0.023753,0.0,0.023752795025080736,,,,
A24_acf_lag1_sq_error,0.018397,0.0,0.01839740498524356,,,,
A25_mean_rmse,0.541565,0.0,0.5415653405165983,,,,
A26_std_error,0.034913,0.0,0.03491324793944606,,,,
A27_logreturn_std_error,0.000381,0.0,0.00038145144699605615,,,,
A28_kurtosis_ratio,1.07462,0.0,1.0746204447251122,,,,
A29_sigma_mean_error,0.005496,0.0,0.005495562996374548,,,,
A30_vol_path_rmse,0.712208,0.0,0.7122080631232495,,,,
A31_rolling_vol_ks,0.02182,0.0,0.021819820248983768,,,,
A32_vol_of_vol_error,0.000113,0.0,0.00011283168148355435,,,,
A33_sigma_corr,0.001906,0.0,0.0019057493085412633,,,,
A34_sigma_rmse,0.100993,0.0,0.10099281643404472,,,,
B_log_ret_hist_funct,0.293551,0.0,0.29355137757433586,,,,
B_log_ret_hist_der,0.159953,0.0,0.1599528196920154,,,,
B_log_ret_hist_sec_der,0.461711,0.0,0.46171088591265075,,,,
B_log_ret_hist_funct_pct,5.25983,0.0,5.259829676637981,,,,
B_log_ret_hist_der_pct,72.149916,0.0,72.14991641438733,,,,
B_log_ret_hist_sec_der_pct,283.292075,0.0,283.2920753731222,,,,
B_log_ret_hist_funct_nrmse,1.473017,0.0,1.4730165704771108,,,,
B_log_ret_hist_der_nrmse,18.400873,0.0,18.400873360526834,,,,
B_log_ret_hist_sec_der_nrmse,49.752823,0.0,49.75282301594245,,,,
B_log_ret_hist_funct_cvar90,3.365375,0.0,3.36537481257732,,,,
B_log_ret_hist_funct_cvar95,4.051012,0.0,4.0510115595945315,,,,
B_qq_plot_funct,0.0,0.0,1.3500181601051422e-07,,,,
B_qq_plot_der,0.0,0.0,3.4240173966421855e-09,,,,
B_qq_plot_sec_der,0.0,0.0,1.330073646190367e-09,,,,
B_qq_plot_funct_pct,4.365629,0.0,4.3656286566376155,,,,
B_qq_plot_der_pct,3.06636,0.0,3.0663602597584863,,,,
B_qq_plot_sec_der_pct,119.364055,0.0,119.36405500886214,,,,
B_qq_plot_funct_nrmse,0.990285,0.0,0.9902852650441332,,,,
B_qq_plot_der_nrmse,0.808501,0.0,0.8085010157275283,,,,
B_qq_plot_sec_der_nrmse,0.940145,0.0,0.9401447974562518,,,,
B_qq_plot_funct_cvar90,1.076616,0.0,1.0766161358973547,,,,
B_qq_plot_funct_cvar95,1.378037,0.0,1.3780369409729336,,,,
B_acf_abs_r_funct,0.000122,0.0,0.00012189029449713967,,,,
B_acf_abs_r_der,0.000147,0.0,0.0001471730693699471,,,,
B_acf_abs_r_sec_der,0.000508,0.0,0.0005077395893127263,,,,
B_acf_abs_r_funct_pct,29.598284,0.0,29.5982840121447,,,,
B_acf_abs_r_der_pct,1136.637707,0.0,1136.6377069467005,,,,
B_acf_abs_r_sec_der_pct,12378.274834,0.0,12378.274833706002,,,,
