step,train_bce
50,0.694313
100,0.694749
150,0.694081
200,0.693338
250,0.688436
300,0.694106
350,0.692843
400,0.692359
450,0.697786
500,0.692484
550,0.693458
600,0.694006
650,0.694593
700,0.692827
750,0.693698
800,0.69466
850,0.692564
900,0.692781
950,0.691866
1000,0.694156
1050,0.697928
1100,0.694148
1150,0.697292
1200,0.697135
1250,0.693774
1300,0.698576
1350,0.693228
1400,0.688577
1450,0.693046
1500,0.693165
1550,0.692375
1600,0.697396
1650,0.692861
1700,0.693976
1750,0.695061
1800,0.692121
1850,0.693805
1900,0.692795
1950,0.692771
2000,0.694357
