step,train_bce
50,0.692827
100,0.69307
150,0.693483
200,0.693363
250,0.692713
300,0.69302
350,0.6915
400,0.693276
450,0.69231
500,0.692384
550,0.689223
600,0.696737
650,0.698714
700,0.690447
750,0.69378
800,0.68244
850,0.695132
900,0.674258
950,0.661011
1000,0.647463
1050,0.654157
1100,0.66855
1150,0.670336
1200,0.645921
1250,0.651011
1300,0.648755
1350,0.668405
1400,0.665728
1450,0.692427
1500,0.659943
1550,0.636596
1600,0.649887
1650,0.667052
1700,0.604385
1750,0.659675
1800,0.638052
1850,0.646853
1900,0.605944
1950,0.655593
2000,0.633931
