step,train_bce
50,0.693209
100,0.692717
150,0.693568
200,0.69312
250,0.693082
300,0.692203
350,0.692984
400,0.692779
450,0.691124
500,0.688538
550,0.69231
600,0.693179
650,0.693386
700,0.692463
750,0.692201
800,0.69223
850,0.693623
900,0.693003
950,0.693011
1000,0.692539
1050,0.693131
1100,0.692369
1150,0.693719
1200,0.69796
1250,0.69076
1300,0.691874
1350,0.692143
1400,0.691945
1450,0.684006
1500,0.691759
1550,0.699652
1600,0.691083
1650,0.686109
1700,0.691842
1750,0.687608
1800,0.688473
1850,0.695979
1900,0.691825
1950,0.696659
2000,0.6922
