step,train_bce
50,0.693398
100,0.692454
150,0.693626
200,0.693647
250,0.696465
300,0.701261
350,0.693411
400,0.693498
450,0.692775
500,0.693171
550,0.692833
600,0.692037
650,0.695713
700,0.693733
750,0.693296
800,0.695615
850,0.693353
900,0.693877
950,0.695018
1000,0.692936
1050,0.691414
1100,0.6922
1150,0.6936
1200,0.690211
1250,0.687438
1300,0.688852
1350,0.692632
1400,0.694464
1450,0.692499
1500,0.690793
1550,0.693174
1600,0.695936
1650,0.692108
1700,0.688189
1750,0.69134
1800,0.691646
1850,0.680024
1900,0.691417
1950,0.682673
2000,0.720007
