step,phase,loss_total
0,diffusion,0.9973660707473755
100,diffusion,0.07667718082666397
200,diffusion,0.06496765464544296
300,diffusion,0.09354451298713684
400,diffusion,0.0718880444765091
500,diffusion,0.06465697288513184
600,diffusion,0.0666838213801384
700,diffusion,0.07514064013957977
800,diffusion,0.06939245015382767
900,diffusion,0.06976401805877686
1000,diffusion,0.07090635597705841
1100,diffusion,0.07524667680263519
1200,diffusion,0.07842104136943817
1300,diffusion,0.06785961240530014
1400,diffusion,0.06264197826385498
1500,diffusion,0.04799933359026909
1600,diffusion,0.07140065729618073
1700,diffusion,0.07587277889251709
1800,diffusion,0.07251337170600891
1900,diffusion,0.07109677046537399
2000,diffusion,0.052903372794389725
2100,diffusion,0.06385022401809692
2200,diffusion,0.05694931000471115
2300,diffusion,0.06184910237789154
2400,diffusion,0.06527218222618103
2500,diffusion,0.0782313197851181
2600,diffusion,0.0595078207552433
2700,diffusion,0.0732569769024849
2800,diffusion,0.06187646463513374
2900,diffusion,0.06548745185136795
3000,diffusion,0.05557353049516678
3100,diffusion,0.07998925447463989
3200,diffusion,0.08084478974342346
3300,diffusion,0.08719256520271301
3400,diffusion,0.07492625713348389
3500,diffusion,0.060327284038066864
3600,diffusion,0.08543173968791962
3700,diffusion,0.06737351417541504
3800,diffusion,0.06412505358457565
3900,diffusion,0.07118481397628784
4000,diffusion,0.07690827548503876
4100,diffusion,0.057095881551504135
4200,diffusion,0.0714707225561142
4300,diffusion,0.0815797746181488
4400,diffusion,0.07165896892547607
4500,diffusion,0.05869373679161072
4600,diffusion,0.06871877610683441
4700,diffusion,0.0773911327123642
4800,diffusion,0.07671704888343811
4900,diffusion,0.07697524130344391
5000,diffusion,0.07610005140304565
5100,diffusion,0.07260306924581528
5200,diffusion,0.06504935026168823
5300,diffusion,0.07118238508701324
5400,diffusion,0.07132168114185333
5500,diffusion,0.0668133869767189
5600,diffusion,0.05461868271231651
5700,diffusion,0.0838056430220604
5800,diffusion,0.06263701617717743
5900,diffusion,0.059089452028274536
6000,diffusion,0.0754953920841217
6100,diffusion,0.05999727547168732
6200,diffusion,0.06532090902328491
6300,diffusion,0.08000202476978302
6400,diffusion,0.07096749544143677
6500,diffusion,0.051531996577978134
6600,diffusion,0.07566249370574951
6700,diffusion,0.06486403942108154
6800,diffusion,0.06318847835063934
6900,diffusion,0.05787575989961624
7000,diffusion,0.07568931579589844
7100,diffusion,0.06675316393375397
7200,diffusion,0.04182200878858566
7300,diffusion,0.0781986266374588
7400,diffusion,0.07564102113246918
7500,diffusion,0.06837497651576996
7600,diffusion,0.06681612133979797
7700,diffusion,0.07063555717468262
7800,diffusion,0.06543251127004623
7900,diffusion,0.06752149015665054
8000,diffusion,0.05795322358608246
8100,diffusion,0.07363159954547882
8200,diffusion,0.06925549358129501
8300,diffusion,0.07809019088745117
8400,diffusion,0.07767971605062485
8500,diffusion,0.07223176956176758
8600,diffusion,0.0662323385477066
8700,diffusion,0.05591659992933273
8800,diffusion,0.04345875233411789
8900,diffusion,0.0736684501171112
9000,diffusion,0.06620121002197266
9100,diffusion,0.06178528442978859
9200,diffusion,0.07268016040325165
9300,diffusion,0.056964531540870667
9400,diffusion,0.07473909854888916
9500,diffusion,0.07931095361709595
9600,diffusion,0.06098426133394241
9700,diffusion,0.07796034216880798
9800,diffusion,0.07314686477184296
9900,diffusion,0.07674498856067657
10000,diffusion,0.05223488807678223
10100,diffusion,0.08329010754823685
10200,diffusion,0.058202821761369705
10300,diffusion,0.06552416831254959
10400,diffusion,0.05999806150794029
10500,diffusion,0.06330633163452148
10600,diffusion,0.06746256351470947
10700,diffusion,0.07498660683631897
10800,diffusion,0.0705210492014885
10900,diffusion,0.06791804730892181
11000,diffusion,0.05973520129919052
11100,diffusion,0.05525951087474823
11200,diffusion,0.05312396585941315
11300,diffusion,0.07768701016902924
11400,diffusion,0.0729755163192749
11500,diffusion,0.06544187664985657
11600,diffusion,0.09015112370252609
11700,diffusion,0.06394326686859131
11800,diffusion,0.08449578285217285
11900,diffusion,0.07909606397151947
12000,diffusion,0.07187685370445251
12100,diffusion,0.08692479133605957
12200,diffusion,0.07364168018102646
12300,diffusion,0.07060645520687103
12400,diffusion,0.06381251662969589
12500,diffusion,0.06718018651008606
12600,diffusion,0.06688674539327621
12700,diffusion,0.05247136205434799
12800,diffusion,0.08236222714185715
12900,diffusion,0.08280859142541885
13000,diffusion,0.08130627870559692
13100,diffusion,0.06875821948051453
13200,diffusion,0.05962757766246796
13300,diffusion,0.07171578705310822
13400,diffusion,0.07958781719207764
13500,diffusion,0.07293142378330231
13600,diffusion,0.060265738517045975
13700,diffusion,0.07476234436035156
13800,diffusion,0.0717681348323822
13900,diffusion,0.0648019015789032
14000,diffusion,0.09289595484733582
14100,diffusion,0.0739097073674202
14200,diffusion,0.0624065101146698
14300,diffusion,0.0697849839925766
14400,diffusion,0.07877913117408752
14500,diffusion,0.05381340533494949
14600,diffusion,0.06037547439336777
14700,diffusion,0.05895558372139931
14800,diffusion,0.07152406871318817
14900,diffusion,0.061271216720342636
14999,diffusion,0.05882981792092323
