step,train_bce
50,0.695087
100,0.690854
150,0.693267
200,0.693504
250,0.693664
300,0.691476
350,0.693055
400,0.693155
450,0.689289
500,0.693493
550,0.692415
600,0.693169
650,0.694011
700,0.692716
750,0.693274
800,0.692978
850,0.692963
900,0.692949
950,0.693485
1000,0.694146
1050,0.692982
1100,0.692193
1150,0.692323
1200,0.693577
1250,0.694522
1300,0.693494
1350,0.693319
1400,0.69166
1450,0.694374
1500,0.693705
1550,0.693995
1600,0.693822
1650,0.693184
1700,0.692489
1750,0.693497
1800,0.693065
1850,0.692867
1900,0.693229
1950,0.693013
2000,0.692448
