step,train_bce
50,0.692808
100,0.693531
150,0.693041
200,0.69217
250,0.692159
300,0.694208
350,0.686593
400,0.695623
450,0.693639
500,0.696941
550,0.690987
600,0.68845
650,0.690502
700,0.690951
750,0.692092
800,0.687221
850,0.681612
900,0.67623
950,0.678301
1000,0.681195
1050,0.674527
1100,0.662999
1150,0.6447
1200,0.698053
1250,0.674871
1300,0.657891
1350,0.662971
1400,0.632141
1450,0.660814
1500,0.659408
1550,0.654051
1600,0.664613
1650,0.669838
1700,0.660169
1750,0.642215
1800,0.642986
1850,0.636103
1900,0.650324
1950,0.669075
2000,0.664068
