step,train_bce
50,0.693896
100,0.693313
150,0.693079
200,0.693279
250,0.691975
300,0.696216
350,0.693519
400,0.69417
450,0.693241
500,0.694818
550,0.692834
600,0.693511
650,0.693833
700,0.693527
750,0.693938
800,0.692632
850,0.69382
900,0.695433
950,0.69021
1000,0.693225
1050,0.696421
1100,0.694479
1150,0.692902
1200,0.693325
1250,0.69227
1300,0.692677
1350,0.692686
1400,0.692474
1450,0.693067
1500,0.692546
1550,0.696044
1600,0.691552
1650,0.692225
1700,0.688275
1750,0.690421
1800,0.689258
1850,0.693928
1900,0.69215
1950,0.690411
2000,0.685419
