step,train_bce
50,0.694431
100,0.69241
150,0.692369
200,0.690711
250,0.696331
300,0.696696
350,0.691532
400,0.695956
450,0.693318
500,0.692966
550,0.692917
600,0.692714
650,0.692958
700,0.692035
750,0.686868
800,0.692384
850,0.692978
900,0.69203
950,0.69244
1000,0.691873
1050,0.691974
1100,0.694822
1150,0.693018
1200,0.693806
1250,0.692968
1300,0.692262
1350,0.691692
1400,0.693495
1450,0.692247
1500,0.690561
1550,0.689838
1600,0.698262
1650,0.690353
1700,0.695264
1750,0.696165
1800,0.694275
1850,0.693574
1900,0.693349
1950,0.693063
2000,0.693023
