metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A10_terminal_swd,0.784878,0.258903,0.761521,0.746562,0.772742,1.228149,0.415415
A11_path_swd,0.545325,0.066392,0.481719,0.524862,0.577111,0.658640,0.484294
A12_rv_law_loss,0.076449,0.022676,0.036618,0.095021,0.082553,0.068414,0.099637
A13_mean_path_rmse,0.183920,0.073978,0.130762,0.215271,0.148950,0.110524,0.314093
A14_ks_logreturns,0.002173,0.000614,0.001474,0.002245,0.002741,0.001473,0.002932
A15_skewness_error,0.012064,0.004495,0.014165,0.006946,0.010898,0.008665,0.019648
A16_qq_rmse,0.000082,0.000023,0.000050,0.000104,0.000087,0.000061,0.000108
A17_terminal_ks,0.021387,0.004590,0.019775,0.025146,0.013916,0.020996,0.027100
A18_disc_score_gru,0.007138,0.005353,0.016779,0.005796,0.000305,0.005796,0.007016
A18_disc_score_mlp,0.006284,0.004902,0.000915,0.003356,0.011897,0.012508,0.002746
A19_pred_score_gru,0.056384,0.000011,0.056384,0.056382,0.056372,0.056376,0.056404
A19_pred_score_mlp,0.056682,0.000369,0.056950,0.056310,0.056314,0.057253,0.056584
A1_kurtosis_error,0.057168,0.015945,0.036952,0.081183,0.059361,0.065640,0.042705
A20_cov_error,5.825412,6.501753,5.388996,1.714315,1.879053,1.627653,18.517041
A21_acf_abs,0.001318,0.000393,0.000980,0.001795,0.001697,0.001336,0.000784
A22_acf_sq,0.001394,0.000332,0.001316,0.001358,0.001390,0.001970,0.000935
A23_acf_lag1_abs_error,0.000901,0.000955,0.000732,0.000847,0.002709,0.000125,0.000090
A24_acf_lag1_sq_error,0.001377,0.001044,0.000424,0.000134,0.002921,0.002148,0.001257
A25_mean_rmse,0.366767,0.153495,0.323147,0.448700,0.215291,0.223549,0.623148
A26_std_error,0.005319,0.002787,0.000445,0.006958,0.008485,0.006443,0.004264
A27_logreturn_std_error,0.000070,0.000034,0.000012,0.000106,0.000064,0.000067,0.000102
A28_kurtosis_ratio,1.071530,0.021162,1.047176,1.105569,1.060958,1.058277,1.085673
A29_sigma_mean_error,0.001022,0.000471,0.000112,0.001448,0.001181,0.001079,0.001289
A2_abs_r_q95_error,0.000149,0.000085,0.000072,0.000253,0.000054,0.000121,0.000247
A30_vol_path_rmse,0.168355,0.090616,0.139685,0.149103,0.123352,0.085353,0.344279
A31_rolling_vol_ks,0.004939,0.001847,0.002162,0.004853,0.007936,0.004458,0.005288
A32_vol_of_vol_error,0.000043,0.000025,0.000027,0.000069,0.000007,0.000040,0.000071
A33_sigma_corr,0.615642,0.002494,0.616691,0.615254,0.614452,0.619668,0.612145
A34_sigma_rmse,0.065597,0.000344,0.065819,0.065228,0.066162,0.065375,0.065400
A3_abs_r_q99_error,0.000240,0.000151,0.000060,0.000454,0.000078,0.000280,0.000327
A4_tail_qq_error,0.000154,0.000056,0.000100,0.000234,0.000115,0.000113,0.000208
A5_hill_tail_index_error,1.280164,0.932361,2.688142,0.735679,0.000108,1.902153,1.074738
A6_path_mmd2,0.001785,0.000126,0.001617,0.001748,0.001708,0.001879,0.001971
A7_terminal_mmd2,0.001252,0.000304,0.001187,0.001676,0.001141,0.001473,0.000784
A8_increment_mmd2,0.000835,0.000009,0.000847,0.000844,0.000829,0.000824,0.000830
A9_volatility_mmd,0.007665,0.000431,0.007088,0.007719,0.007322,0.008324,0.007871
B_acf_abs_r_der,0.000008,0.000003,0.000005,0.000013,0.000010,0.000004,0.000007
B_acf_abs_r_der_nrmse,56.932375,12.729422,47.315491,75.055705,66.797993,39.899223,55.593462
B_acf_abs_r_der_pct,265.465432,127.328958,149.315767,459.714703,362.122132,126.962957,229.211601
B_acf_abs_r_funct,0.000005,0.000001,0.000005,0.000007,0.000005,0.000003,0.000004
B_acf_abs_r_funct_cvar90,11.360474,1.842717,11.688137,13.757188,11.821576,8.058908,11.476559
B_acf_abs_r_funct_cvar95,13.091666,2.680618,12.303356,16.811755,15.314684,9.241418,11.787118
B_acf_abs_r_funct_nrmse,5.554195,0.853301,5.533043,6.890709,5.771974,4.225838,5.349408
B_acf_abs_r_funct_pct,7.923940,1.318601,8.803715,9.481147,8.628886,6.177143,6.528808
B_acf_abs_r_sec_der,0.000024,0.000013,0.000012,0.000043,0.000034,0.000011,0.000019
B_acf_abs_r_sec_der_nrmse,95.454747,26.726319,70.045414,133.728273,119.283981,66.621198,87.594869
B_acf_abs_r_sec_der_pct,2893.456892,1291.508718,1417.059231,3304.570254,5121.712528,2730.202767,1893.739680
B_acf_sq_r_der,0.000008,0.000004,0.000004,0.000014,0.000009,0.000005,0.000006
B_acf_sq_r_der_nrmse,45.844975,10.978293,33.927031,64.148146,51.760812,36.963520,42.425363
B_acf_sq_r_der_pct,260.384243,115.172977,133.101283,460.940090,282.188091,163.321774,262.369980
B_acf_sq_r_funct,0.000005,0.000001,0.000005,0.000007,0.000005,0.000005,0.000003
B_acf_sq_r_funct_cvar90,12.330433,2.347211,11.426380,16.373859,13.205412,11.205667,9.440847
B_acf_sq_r_funct_cvar95,14.689500,3.606502,13.417547,20.173679,17.539587,11.531895,10.784793
