step,phase,loss_total
0,train,1.0205860137939453
100,train,0.12355116754770279
200,train,0.1345197856426239
300,train,0.1775902360677719
400,train,0.24557490646839142
500,train,0.05990270525217056
512,val,0.14118548016995192
600,train,0.051282837986946106
700,train,0.2282598614692688
800,train,0.19908608496189117
900,train,0.08494466543197632
1000,train,0.08482057601213455
1100,train,0.21072255074977875
1200,train,0.11029636859893799
1300,train,0.15062256157398224
1400,train,0.17391365766525269
1500,train,0.19759677350521088
1600,train,0.04506576433777809
1700,train,0.1486676037311554
1800,train,0.1399555802345276
1900,train,0.18920646607875824
2000,train,0.12440653890371323
2100,train,0.07348442077636719
2200,train,0.18980762362480164
2300,train,0.07314985990524292
2400,train,0.1643659919500351
2500,train,0.15199816226959229
2600,train,0.08805644512176514
2700,train,0.08889374881982803
2800,train,0.06404298543930054
2900,train,0.08587980270385742
3000,train,0.08354663848876953
3100,train,0.2500230073928833
3200,train,0.22982513904571533
3300,train,0.12369820475578308
3400,train,0.21468178927898407
3500,train,0.1612994521856308
3600,train,0.1296270340681076
3700,train,0.0800931379199028
3800,train,0.07868674397468567
3900,train,0.1300705224275589
4000,train,0.148879274725914
4100,train,0.1591624915599823
4200,train,0.08408060669898987
4300,train,0.13454751670360565
4400,train,0.06645189225673676
4500,train,0.08811551332473755
4600,train,0.14448346197605133
4700,train,0.10206159204244614
4800,train,0.15219636261463165
4900,train,0.18148602545261383
5000,train,0.2724016010761261
5100,train,0.12421255558729172
5200,train,0.16296441853046417
5300,train,0.12920163571834564
5400,train,0.13886027038097382
5500,train,0.12451015412807465
5600,train,0.14513087272644043
5632,val,0.10937623539939523
5700,train,0.13295969367027283
5800,train,0.17111046612262726
5900,train,0.11441174894571304
6000,train,0.08581522107124329
6100,train,0.1795315444469452
6200,train,0.10764778405427933
6300,train,0.15385089814662933
6400,train,0.18534786999225616
6500,train,0.07642417401075363
6600,train,0.10966159403324127
6700,train,0.24753335118293762
6800,train,0.17438161373138428
6900,train,0.13668496906757355
7000,train,0.08553830534219742
7100,train,0.06547538936138153
7200,train,0.12137537449598312
7300,train,0.1320250779390335
7400,train,0.12411415576934814
7500,train,0.17255161702632904
7600,train,0.146612286567688
7700,train,0.06168494001030922
7800,train,0.07577463239431381
7900,train,0.0740760937333107
8000,train,0.06028211861848831
8100,train,0.024988824501633644
8200,train,0.1294972002506256
8300,train,0.08303065598011017
8400,train,0.0650249496102333
8500,train,0.12672588229179382
8600,train,0.08833842724561691
8700,train,0.11927928775548935
8800,train,0.12723025679588318
8900,train,0.022911567240953445
9000,train,0.12945438921451569
