step,train_bce
50,0.69411
100,0.680108
150,0.691421
200,0.6921
250,0.688604
300,0.692636
350,0.693253
400,0.693187
450,0.693419
500,0.693028
550,0.693247
600,0.693348
650,0.690627
700,0.692697
750,0.692372
800,0.6937
850,0.693187
900,0.692511
950,0.693182
1000,0.693141
1050,0.693146
1100,0.692941
1150,0.694047
1200,0.693218
1250,0.693937
1300,0.693177
1350,0.693095
1400,0.692689
1450,0.693004
1500,0.693151
1550,0.692041
1600,0.693093
1650,0.693186
1700,0.69334
1750,0.693127
1800,0.693141
1850,0.692522
1900,0.693417
1950,0.693121
2000,0.692327
