step,train_bce
50,0.693427
100,0.690963
150,0.693154
200,0.692228
250,0.692623
300,0.694689
350,0.693125
400,0.692923
450,0.692872
500,0.692109
550,0.69264
600,0.692756
650,0.692496
700,0.69311
750,0.695686
800,0.695928
850,0.692912
900,0.692848
950,0.692674
1000,0.692402
1050,0.694312
1100,0.692443
1150,0.691665
1200,0.68535
1250,0.408826
1300,0.184395
1350,0.14432
1400,0.095642
1450,0.112987
1500,0.082687
1550,0.086625
1600,0.093107
1650,0.029123
1700,0.093785
1750,0.059589
1800,0.045828
1850,0.084024
1900,0.044934
1950,0.172805
2000,0.03264
