step,train_bce
50,0.693142
100,0.699307
150,0.696977
200,0.693422
250,0.693688
300,0.693938
350,0.693628
400,0.692277
450,0.692122
500,0.690511
550,0.693132
600,0.693215
650,0.693753
700,0.69468
750,0.692753
800,0.679046
850,0.535441
900,0.322695
950,0.112981
1000,0.063152
1050,0.080663
1100,0.123437
1150,0.097124
1200,0.062609
1250,0.048806
1300,0.053191
1350,0.060116
1400,0.058089
1450,0.022952
1500,0.072742
1550,0.096427
1600,0.062908
1650,0.047585
1700,0.051161
1750,0.060276
1800,0.035187
1850,0.017781
1900,0.014312
1950,0.036956
2000,0.024291
