step,train_bce
50,0.69945
100,0.698487
150,0.693126
200,0.694205
250,0.693736
300,0.692999
350,0.698399
400,0.693036
450,0.690924
500,0.692869
550,0.693043
600,0.695691
650,0.692889
700,0.69357
750,0.693489
800,0.692701
850,0.692756
900,0.693026
950,0.694863
1000,0.690958
1050,0.694691
1100,0.69347
1150,0.694833
1200,0.68987
1250,0.693671
1300,0.692982
1350,0.69269
1400,0.691418
1450,0.692091
1500,0.693478
1550,0.693502
1600,0.693039
1650,0.693266
1700,0.691944
1750,0.692944
1800,0.692878
1850,0.69376
1900,0.692903
1950,0.693462
2000,0.692923
