metric,asset,seed_0,seed_2,seed_4,seed_5,seed_6,mean
A12_rv_law_loss,0,0.9469427960961416,0.9622906657182425,0.9787658829971274,1.0259596164141955,0.8148104066219461,0.94575387
A12_rv_law_loss,1,0.9644946626450286,0.9633208524821865,0.8033237965903616,0.8948680622565817,0.8343516106474393,0.8920718
A12_rv_law_loss,2,0.6291358415137553,0.6740420705716372,0.5854482711498462,0.6205372442086612,0.5600904278417758,0.61385077
A12_rv_law_loss,3,0.5804538863527609,1.8268221520989847,1.6906031912385706,1.2402705837989814,0.7387262622304658,1.21537522
A12_rv_law_loss,4,0.5211934581011917,0.7099254733232708,0.5105507606138981,0.5909356982212945,0.5445527002081152,0.57543162
A12_rv_law_loss,5,0.9119576297856122,0.9432270326382652,1.455214810682738,1.11363324047212,1.0180607862626232,1.0884187
A12_rv_law_loss,6,0.8751856053503737,1.0983278556496963,0.9449785253349796,0.938893944225173,0.8213765797887964,0.9357525
A12_rv_law_loss,7,0.39089364892788614,0.4017395833091238,0.4172200415347465,0.437964257816897,0.4836615426551597,0.42629581
A13_mean_path_rmse,0,0.6003320840808075,0.8373400936391481,0.5954505097268078,0.6483404998761625,0.5015748033762694,0.6366076
A13_mean_path_rmse,1,0.0956334853778814,0.13804530375112029,0.08782192955092709,0.1615216444955525,0.24609376218662024,0.14582323
A13_mean_path_rmse,2,0.3591518976962411,0.3409438113847551,0.3527914367038872,0.4631808553564173,0.5040045271887952,0.40401451
A13_mean_path_rmse,3,0.627764588982763,0.32147050185154036,0.36544811979731145,0.24375996606034356,0.3280367414138181,0.37729598
A13_mean_path_rmse,4,0.3862075826936852,0.7550036280485867,0.551413402896504,0.4517797312132443,0.4093419808696879,0.51074927
A13_mean_path_rmse,5,0.1714200957014121,0.14810506776189186,0.14758454551515995,0.14622170779353433,0.2378596385831794,0.17023821
A13_mean_path_rmse,6,0.5544077458789098,0.7092290645074143,0.6647099755437743,0.6047702450592488,0.5343595373696055,0.61349531
A13_mean_path_rmse,7,0.580298455479677,0.7059315158474161,0.8356612720222899,0.7684880547901869,0.85370743943746,0.74881735
A14_ks_logreturns,0,0.02212439305278885,0.028672906032121526,0.02697170303162355,0.023748268644173287,0.0266327269048805,0.02563
A14_ks_logreturns,1,0.016416754855577698,0.0171112425298805,0.01932552991160358,0.01925549754108563,0.019780253984063745,0.01837786
A14_ks_logreturns,2,0.023670454899153426,0.02065857663097609,0.025196090637450208,0.022595652546065714,0.023367953965388433,0.02309775
