step,train_bce
50,0.691033
100,0.693837
150,0.700325
200,0.692545
250,0.692518
300,0.695915
350,0.693159
400,0.692712
450,0.692784
500,0.69343
550,0.692599
600,0.693243
650,0.693045
700,0.69293
750,0.693116
800,0.692211
850,0.692826
900,0.693152
950,0.692814
1000,0.693686
1050,0.69293
1100,0.693834
1150,0.693254
1200,0.693597
1250,0.694383
1300,0.693371
1350,0.693688
1400,0.69565
1450,0.693241
1500,0.693376
1550,0.691601
1600,0.692644
1650,0.693269
1700,0.693052
1750,0.692526
1800,0.692861
1850,0.692383
1900,0.693059
1950,0.696107
2000,0.693671
