step,train_bce
50,0.690809
100,0.692697
150,0.695101
200,0.695067
250,0.693164
300,0.692852
350,0.693744
400,0.69349
450,0.689641
500,0.692711
550,0.693326
600,0.692645
650,0.692929
700,0.691461
750,0.693325
800,0.692201
850,0.697595
900,0.693695
950,0.693122
1000,0.693661
1050,0.693376
1100,0.693424
1150,0.694429
1200,0.692912
1250,0.691201
1300,0.693707
1350,0.688371
1400,0.692952
1450,0.692899
1500,0.689331
1550,0.686853
1600,0.694666
1650,0.685689
1700,0.698522
1750,0.699487
1800,0.683591
1850,0.689459
1900,0.692048
1950,0.691212
2000,0.689376
