metric,scope,mean,std,seed_0,seed_2,seed_4,seed_5,seed_6
A6_path_mmd2,native,0.00212643,9.035e-05,0.0021403152886216373,0.002291842686133347,0.002056080775666602,0.0020374979912435656,0.0021063942356390336
A7_terminal_mmd2,native,0.0020871,6.455e-05,0.002072839202859944,0.00221152308323138,0.002063999395843844,0.0020232635627924177,0.002063890926455012
A8_increment_mmd2,native,0.00088671,1.69e-05,0.0008694933808415239,0.000872278911710378,0.0008820576114674239,0.0008938313516577701,0.0009158951008945149
A9_volatility_mmd,native,0.03290524,0.00191487,0.03403323293237365,0.036150839776779624,0.03172208895906242,0.031447920587664616,0.031172111986590523
A10_terminal_swd,native,1.66519257,0.16427792,1.619785000273423,1.9330638010684043,1.4906450664250581,1.519775605699221,1.7626933661697022
A11_path_swd,native,1.01059565,0.06494229,0.9596560056811394,1.1017203615958882,0.9185451195547326,1.050141449284888,1.022915319059152
A20_cov_error,native,255.31944516,32.65479103,257.3531688047841,314.37332094172694,217.17127173700982,236.04624440028087,251.653219909663
A25_mean_rmse,native,2.40339303,0.14602393,2.182028654547449,2.6363174526354056,2.353272810359167,2.41547994147484,2.4298662848605077
A18_disc_score_gru,native,0.1396704,0.08703572,0.151511,0.14968,0.285169,0.020903,0.091089
A18_disc_score_mlp,native,0.0086362,0.00482255,0.004425,0.004425,0.016631,0.005951,0.011749
A1_kurtosis_error,per-asset-mean,1.05047753,0.10613309,1.2175184872735283,1.0336378782444466,1.113905779761144,0.9690887985216825,0.9182366915944147
A2_abs_r_q95_error,per-asset-mean,0.00053091,0.00016701,0.00047987933090467725,0.0008286216981402538,0.0003129223115433521,0.0005044390405792767,0.0005286680159530908
A3_abs_r_q99_error,per-asset-mean,0.00134294,0.00028681,0.0010973871821330613,0.001756312181563597,0.0010021237700284487,0.0012729131480170618,0.0015859525991797443
