step,train_bce
50,0.705829
100,0.685449
150,0.692108
200,0.694614
250,0.694723
300,0.690726
350,0.69275
400,0.692879
450,0.693039
500,0.691171
550,0.692786
600,0.693031
650,0.694264
700,0.693889
750,0.690805
800,0.691961
850,0.693306
900,0.693936
950,0.693003
1000,0.692244
1050,0.692369
1100,0.693156
1150,0.692852
1200,0.693025
1250,0.692003
1300,0.694763
1350,0.693539
1400,0.69347
1450,0.693906
1500,0.693108
1550,0.693242
1600,0.692126
1650,0.690803
1700,0.693317
1750,0.693199
1800,0.692585
1850,0.694793
1900,0.691629
1950,0.693755
2000,0.693892
