step,train_bce
50,0.696378
100,0.693229
150,0.691296
200,0.693304
250,0.695269
300,0.693496
350,0.693206
400,0.693093
450,0.693173
500,0.691285
550,0.693235
600,0.692231
650,0.693395
700,0.693023
750,0.693543
800,0.692887
850,0.691084
900,0.693002
950,0.692991
1000,0.691727
1050,0.693179
1100,0.693406
1150,0.693084
1200,0.693015
1250,0.693164
1300,0.691375
1350,0.693771
1400,0.693153
1450,0.692667
1500,0.692604
1550,0.696896
1600,0.692711
1650,0.692471
1700,0.693717
1750,0.687854
1800,0.692583
1850,0.693128
1900,0.69129
1950,0.693808
2000,0.691045
