metric,asset,seed_0,seed_4,seed_6,mean
A12_rv_law_loss,0,0.9220764884056565,0.8046526631001913,0.9503267480794835,0.89235197
A12_rv_law_loss,1,0.859432155880677,0.8939838271154268,1.3323607604300118,1.02859225
A12_rv_law_loss,2,0.6146924998705323,0.6363469915599281,0.6121949398151763,0.62107814
A12_rv_law_loss,3,0.4962981174660231,0.2970946188309618,0.5071043887964057,0.43349904
A12_rv_law_loss,4,0.5219892702545949,0.5575151038257036,0.5795083925866809,0.55300426
A12_rv_law_loss,5,0.918683480480432,0.9009387914811542,1.06347757008312,0.96103328
A12_rv_law_loss,6,0.8019915126285411,0.806307477861226,0.8055523058405302,0.8046171
A12_rv_law_loss,7,0.4254660136718366,0.44750387455478674,0.40556201996169244,0.4261773
A13_mean_path_rmse,0,0.5595276765425025,0.5666569076216024,0.5217500704152458,0.54931155
A13_mean_path_rmse,1,0.13808315950373126,0.08512059074011906,0.19424447978869494,0.13914941
A13_mean_path_rmse,2,0.3378223566130183,0.35208309502061663,0.46097963470643405,0.38362836
A13_mean_path_rmse,3,0.6242035645217189,0.33592456003467375,0.3534337816143196,0.43785397
A13_mean_path_rmse,4,0.3910435639752644,0.5562423365122294,0.4591840352676309,0.46882331
A13_mean_path_rmse,5,0.16407734113558164,0.16704543279956865,0.265723751118594,0.19894884
A13_mean_path_rmse,6,0.49655741569787337,0.5925494007240971,0.49504405717138233,0.52805029
A13_mean_path_rmse,7,0.5621228289283962,0.8203931244659821,0.8823574209752222,0.75495779
A14_ks_logreturns,0,0.025762671968376505,0.028590228928037864,0.02503122276518921,0.02646137
A14_ks_logreturns,1,0.019732593065239057,0.020332245237798807,0.02491255680403387,0.02165913
A14_ks_logreturns,2,0.02488434932146416,0.025248128579432316,0.026577770947460166,0.02557008
A14_ks_logreturns,3,0.0035735962400398474,0.003075101936005978,0.002920447117778835,0.00318972
A14_ks_logreturns,4,0.026072467940737032,0.026390045287599584,0.024256976002241026,0.02557316
A14_ks_logreturns,5,0.009462151394422302,0.00927004871140441,0.009639177664342635,0.00945713
A14_ks_logreturns,6,0.023021682800049792,0.024324576693227073,0.0259606106822709,0.02443562
A14_ks_logreturns,7,0.02499863825946219,0.025995140531623495,0.023674345586404355,0.02488937
