step,train_bce
50,0.695701
100,0.693554
150,0.692199
200,0.69372
250,0.693377
300,0.69346
350,0.692122
400,0.692837
450,0.6912
500,0.692422
550,0.692877
600,0.691926
650,0.692382
700,0.691692
750,0.69284
800,0.693359
850,0.693621
900,0.693359
950,0.693347
1000,0.69242
1050,0.693697
1100,0.692666
1150,0.699744
1200,0.691449
1250,0.690795
1300,0.69369
1350,0.691169
1400,0.69341
1450,0.690719
1500,0.695518
1550,0.690047
1600,0.691136
1650,0.697937
1700,0.696531
1750,0.68875
1800,0.686802
1850,0.595872
1900,0.545409
1950,0.471575
2000,0.43299
