step,train_bce
50,0.694152
100,0.691722
150,0.693033
200,0.693016
250,0.694407
300,0.696528
350,0.694902
400,0.693063
450,0.692387
500,0.693431
550,0.692909
600,0.693153
650,0.69318
700,0.693995
750,0.693671
800,0.692536
850,0.693209
900,0.693141
950,0.692558
1000,0.692474
1050,0.693204
1100,0.692344
1150,0.693148
1200,0.692988
1250,0.692994
1300,0.692214
1350,0.693288
1400,0.693401
1450,0.694382
1500,0.693902
1550,0.692946
1600,0.69244
1650,0.69303
1700,0.693207
1750,0.69036
1800,0.695432
1850,0.693165
1900,0.692427
1950,0.69315
2000,0.693154
