step,train_bce
50,0.692598
100,0.690998
150,0.692887
200,0.69311
250,0.690866
300,0.696825
350,0.691921
400,0.692452
450,0.692497
500,0.694346
550,0.692677
600,0.691084
650,0.693854
700,0.692685
750,0.693117
800,0.695741
850,0.693382
900,0.694532
950,0.692981
1000,0.695084
1050,0.692654
1100,0.690734
1150,0.693358
1200,0.694996
1250,0.691744
1300,0.687614
1350,0.683708
1400,0.661701
1450,0.621112
1500,0.693978
1550,0.669528
1600,0.650309
1650,0.608895
1700,0.585142
1750,0.607898
1800,0.553617
1850,0.581242
1900,0.536964
1950,0.625027
2000,0.58262
