step,train_bce
50,0.693522
100,0.693259
150,0.69206
200,0.695565
250,0.703249
300,0.692213
350,0.693181
400,0.693605
450,0.693048
500,0.693074
550,0.692711
600,0.693481
650,0.694701
700,0.692057
750,0.692938
800,0.691157
850,0.693746
900,0.693346
950,0.693674
1000,0.692841
1050,0.693315
1100,0.691841
1150,0.693369
1200,0.693112
1250,0.693328
1300,0.693457
1350,0.693457
1400,0.693585
1450,0.693295
1500,0.693059
1550,0.692424
1600,0.693537
1650,0.693553
1700,0.695717
1750,0.693209
1800,0.692443
1850,0.690989
1900,0.694451
1950,0.694106
2000,0.6922
