step,phase,loss_total,epoch,kld_loss,nll_loss,mse_loss,lr
64,train,146.59331226348877,0,0.6657435525557958,145.9275666475296,0.39249185542576015,0.001
64,val,46.48351627588272,0,,,,0.001
128,train,19.208857355173677,1,1.4553838055580854,17.753473330987617,0.0720565973315388,0.001
128,val,0.49352784268558025,1,,,,0.001
192,train,-2.0585310999304056,2,1.0835301391780376,-3.1420612167567015,0.019817756750853732,0.001
192,val,-4.814549379050732,2,,,,0.001
256,train,-3.681721329689026,3,0.8545014839619398,-4.536222796887159,0.016332352272002026,0.001
256,val,-6.13886346668005,3,,,,0.001
320,train,-6.328709900379181,4,0.7294365493580699,-7.0581464394927025,0.010027542964962777,0.001
320,val,-7.109883159399033,4,,,,0.001
384,train,-6.650975205004215,5,0.670795333571732,-7.321770571172237,0.009368482649733778,0.001
384,val,-7.464245967566967,5,,,,0.001
448,train,-7.450030110776424,6,0.6352044316008687,-8.0852345302701,0.007459822416421957,0.001
448,val,-7.1419666558504105,6,,,,0.001
512,train,-6.951638121157885,7,0.6063123838976026,-7.557950466871262,0.008778032664849889,0.001
512,val,-7.561675608158112,7,,,,0.001
576,train,-8.068585231900215,8,0.5980895655229688,-8.666674792766571,0.006006221832649317,0.001
576,val,-8.466856569051743,8,,,,0.001
640,train,-8.235836952924728,9,0.5675570769235492,-8.80339402705431,0.005664423748385161,0.001
640,val,-8.550244085490704,9,,,,0.001
704,train,-8.341103851795197,10,0.5627747550606728,-8.903878547251225,0.005413212216808461,0.001
704,val,-8.529942512512207,10,,,,0.001
768,train,-8.322886548936367,11,0.5586873237043619,-8.881573967635632,0.005468974046380026,0.001
768,val,-8.956900388002396,11,,,,0.001
832,train,-8.729991644620895,12,0.543833939358592,-9.27382554858923,0.004488344715355197,0.001
832,val,-9.218989565968513,12,,,,0.001
896,train,-8.650950886309147,13,0.5518906367942691,-9.202841557562351,0.004665804801334161,0.001
896,val,-9.184636726975441,13,,,,0.001
960,train,-9.258338838815689,14,0.5404239529743791,-9.798762701451778,0.00317600183916511,0.001
960,val,-9.536693796515465,14,,,,0.001
1024,train,-9.300094664096832,15,0.5368153713643551,-9.836910128593445,0.003080633410718292,0.001
1024,val,-9.28418305516243,15,,,,0.001
1088,train,-9.425546139478683,16,0.5318027399480343,-9.957348808646202,0.0027795363566838205,0.001
1088,val,-9.668685838580132,16,,,,0.001
1152,train,-9.540968492627144,17,0.5338464574888349,-10.07481487095356,0.0024858711130946176,0.001
1152,val,-9.667306900024414,17,,,,0.001
1216,train,-9.559926837682724,18,0.532321447506547,-10.092248350381851,0.00244228763585852,0.001
1216,val,-9.551825135946274,18,,,,0.001
1280,train,-9.551060199737549,19,0.5252901678904891,-10.07635036110878,0.002482032517946209,0.001
1280,val,-9.811131283640862,19,,,,0.001
1344,train,-9.680016532540321,20,0.5239211656153202,-10.203937664628029,0.0021630643168464303,0.001
1344,val,-9.726515755057335,20,,,,0.001
1408,train,-9.590342432260513,21,0.5239588422700763,-10.114301472902298,0.002387154985626694,0.001
1408,val,-9.950126871466637,21,,,,0.001
1472,train,-9.747669875621796,22,0.5185309154912829,-10.266200721263885,0.002007406419579638,0.001
1472,val,-9.646952584385872,22,,,,0.001
1536,train,-9.52028712630272,23,0.5143060386180878,-10.034593150019646,0.002586425571280415,0.001
1536,val,-9.940769359469414,23,,,,0.001
1600,train,-9.887372955679893,24,0.5132442805916071,-10.400617182254791,0.0016713652603357332,0.001
1600,val,-9.921627044677734,24,,,,0.001
1664,train,-9.33369766175747,25,0.5142782051116228,-9.847975715994835,0.0030529688574461034,0.001
1664,val,-7.79190981388092,25,,,,0.001
1728,train,-9.505172744393349,26,0.5125341899693012,-10.01770693063736,0.002628641224873718,0.001
1728,val,-9.996224835515022,26,,,,0.001
1792,train,-10.023569867014885,27,0.5090320757590234,-10.53260187804699,0.0013414037912298227,0.001
1792,val,-10.049096882343292,27,,,,0.001
1856,train,-9.96791997551918,28,0.5104489144869149,-10.478368818759918,0.0014769863410037942,0.001
1856,val,-9.967455565929413,28,,,,0.001
1920,train,-9.90540997684002,29,0.5005766740068793,-10.405986621975899,0.0016579418479523156,0.001
1920,val,-10.075817942619324,29,,,,0.001
1984,train,-9.993228048086166,30,0.5049495929852128,-10.498177736997604,0.0014274643253884278,0.001
1984,val,-10.032059222459793,30,,,,0.001
2048,train,-10.000433295965195,31,0.5022724461741745,-10.502705737948418,0.0014161440249154111,0.001
2048,val,-10.086130693554878,31,,,,0.001
2112,train,-9.796841412782669,32,0.4972621719352901,-10.294103592634201,0.0019376494947209721,0.001
2112,val,-10.056054040789604,32,,,,0.001
2176,train,-10.078421890735626,33,0.49594094743952155,-10.574362888932228,0.001237001275512739,0.001
2176,val,-9.583840310573578,33,,,,0.001
2240,train,-9.759648270905018,34,0.4935575001873076,-10.25320589542389,0.0020398939632286783,0.001
2240,val,-10.124162122607231,34,,,,0.001
2304,train,-10.000651478767395,35,0.49475105851888657,-10.495402485132217,0.0014344020055432338,0.001
2304,val,-10.07776589691639,35,,,,0.001
2368,train,-9.998147666454315,36,0.49218592001125216,-10.490333676338196,0.001447074382667779,0.001
2368,val,-10.097820460796356,36,,,,0.001
2432,train,-10.018408551812172,37,0.49089086847379804,-10.50929942727089,0.0013996599082020111,0.001
2432,val,-10.117892533540726,37,,,,0.001
2496,train,-10.035151258111,38,0.49115903582423925,-10.526310309767723,0.0013571326580859022,0.001
2496,val,-9.785466626286507,38,,,,0.001
2560,train,-9.95825831592083,39,0.48700020741671324,-10.445258513092995,0.0015597620877088048,0.001
2560,val,-10.027373403310776,39,,,,0.001
2624,train,-10.076594308018684,40,0.48456675559282303,-10.561161071062088,0.0012700058805421577,0.001
2624,val,-9.94297306239605,40,,,,0.001
2688,train,-9.955158442258835,41,0.487134225666523,-10.442292749881744,0.0015671765968363616,0.001
2688,val,-10.09638948738575,41,,,,0.001
2752,train,-10.067632779479027,42,0.48226524656638503,-10.549897879362106,0.0012981634226889582,0.001
