step,train_bce
50,0.705541
100,0.692693
150,0.700841
200,0.698025
250,0.693329
300,0.695066
350,0.693572
400,0.692419
450,0.6931
500,0.693917
550,0.692494
600,0.693755
650,0.693216
700,0.693
750,0.693147
800,0.691541
850,0.692448
900,0.692575
950,0.693404
1000,0.692277
1050,0.692981
1100,0.693265
1150,0.693094
1200,0.692672
1250,0.693183
1300,0.693381
1350,0.692902
1400,0.692959
1450,0.693147
1500,0.693233
1550,0.693836
1600,0.693087
1650,0.693056
1700,0.692881
1750,0.694675
1800,0.69281
1850,0.693195
1900,0.693855
1950,0.692543
2000,0.693185
