step,train_bce
50,0.690789
100,0.690079
150,0.694602
200,0.693451
250,0.692765
300,0.693284
350,0.69216
400,0.693295
450,0.694102
500,0.689092
550,0.693204
600,0.692672
650,0.692725
700,0.693275
750,0.692017
800,0.691668
850,0.691973
900,0.690486
950,0.689222
1000,0.647941
1050,0.679302
1100,0.475029
1150,0.674834
1200,0.54856
1250,0.209785
1300,0.092987
1350,0.060644
1400,0.033757
1450,0.061698
1500,0.077174
1550,0.103242
1600,0.008357
1650,0.036114
1700,0.00971
1750,0.057459
1800,0.04458
1850,0.079064
1900,0.028491
1950,0.014745
2000,0.016384
