metric,scope,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A6_path_mmd2,native,0.00204629,9.175e-05,0.0019362110131915591,0.0020196298033053686,0.0022115769261682947,0.0020596925090186832,0.002004343565498133
A7_terminal_mmd2,native,0.00205533,4.96e-05,0.0020288634790037244,0.0020303159389382756,0.002151831266120393,0.002050838260750802,0.002014820261912017
A8_increment_mmd2,native,0.00101035,1.224e-05,0.000998702394441775,0.0010113219877250224,0.0009957992772229307,0.0010293986410832012,0.0010165037152498613
A9_volatility_mmd,native,0.00993538,0.00036241,0.009539493429647015,0.009790407823023605,0.010618281105171833,0.009899746985421946,0.009828969301194462
A10_terminal_swd,native,1.35475439,0.32435161,1.0988804383458104,1.4033280168513005,1.9537079014530996,1.0522799527168003,1.2655756478005553
A11_path_swd,native,0.82588772,0.09446135,0.7264956481746496,0.8257949233245543,0.9942889958779287,0.7466957958246474,0.8361632314220302
A20_cov_error,native,80.26803064,12.98311516,62.904410730199025,102.22921453175846,76.9702328865994,84.48113710544963,74.75515793201123
A25_mean_rmse,native,1.64894605,0.29649269,2.0703721829562665,1.6493210591417387,1.6826734839155217,1.7014037847726,1.1409597270411789
A18_disc_score_gru,native,0.0265792,0.0046703,0.027922,0.034635,0.025481,0.02426,0.020598
A18_disc_score_mlp,native,0.0079038,0.00735065,0.004425,0.000153,0.021819,0.005951,0.007171
A1_kurtosis_error,per-asset-mean,0.01810944,0.00311578,0.018828648308426343,0.012049739291736472,0.018805157195351363,0.02055844047455796,0.020305224193701565
A2_abs_r_q95_error,per-asset-mean,0.00013958,1.008e-05,0.00014626028581770636,0.00015414523158637687,0.00012653413404002363,0.00014034176450501527,0.00013061082195311904
A3_abs_r_q99_error,per-asset-mean,0.0002083,2.196e-05,0.00021672430685778935,0.00019035173076831224,0.00017995064069038563,0.00024300854165997627,0.00021145482909440232
A4_tail_qq_error,per-asset-mean,0.00013509,7.31e-06,0.00013864290395843704,0.0001444581436885284,0.00012609108112509237,0.00013940760531601956,0.0001268750521993561
A5_hill_tail_index_error,per-asset-mean,0.72935616,0.19529038,0.4685960078101459,1.007494100145186,0.7883099184052911,0.8307365909405251,0.551644187486749
A12_rv_law_loss,per-asset-mean,0.14498591,0.00737873,0.14729522844077855,0.1544423769274163,0.13407724327367418,0.14994736866061975,0.1391673490629768
A13_mean_path_rmse,per-asset-mean,0.27658303,0.03024911,0.3005170811922147,0.27514048313706013,0.2887786901453402,0.2995494187858757,0.21892946916081216
A14_ks_logreturns,per-asset-mean,0.00258259,0.0002357,0.002968594372509955,0.0025617743868276872,0.0024730788759026318,0.0026592847360557836,0.0022502154468065153
A15_skewness_error,per-asset-mean,0.0074068,0.0006691,0.006876951356083807,0.007551135183120859,0.006460625199647016,0.007794319370651432,0.008350975755774342
A16_qq_rmse,per-asset-mean,8.085e-05,5.38e-06,8.761438185954162e-05,8.252238490876627e-05,7.607898407848958e-05,8.477135639244494e-05,7.32395842205084e-05
A17_terminal_ks,per-asset-mean,0.021698,0.00214712,0.0247955322265625,0.020538330078125,0.01971435546875,0.02374267578125,0.0196990966796875
A21_acf_abs,per-asset-mean,0.00471918,0.00031009,0.004924872751154298,0.004392721533965109,0.004303246026412269,0.005073728595267078,0.004901336253266749
A22_acf_sq,per-asset-mean,0.00344757,0.00029971,0.003683443605741342,0.0032619827191249567,0.002945778595498127,0.003724928055801773,0.0036216993725455325
A23_acf_lag1_abs_error,per-asset-mean,0.00519882,0.00033208,0.005231438570357413,0.004692699308553107,0.0050212205180411645,0.005683504504651298,0.005365212100982946
A24_acf_lag1_sq_error,per-asset-mean,0.00371402,0.00033267,0.003676066899660416,0.003460562709252605,0.0032617157774022546,0.004143081826785088,0.004028649950367367
A26_std_error,per-asset-mean,0.00654055,0.00041395,0.006001851469377512,0.006410780468104893,0.006956691206020105,0.007081865106988688,0.006251541857025672
A27_logreturn_std_error,per-asset-mean,6.341e-05,5.34e-06,6.740751940000631e-05,6.972874866463161e-05,6.079233679232455e-05,6.453701296775137e-05,5.4561488241821384e-05
A28_kurtosis_ratio,per-asset-mean,1.02012245,0.00440224,1.021876123627481,1.0122520179252907,1.0201944493297714,1.025752984639877,1.0205366577909023
