step,train_bce
50,0.691175
100,0.692676
150,0.69425
200,0.693302
250,0.692852
300,0.6935
350,0.693104
400,0.698189
450,0.692844
500,0.692702
550,0.69262
600,0.691262
650,0.69263
700,0.694062
750,0.692274
800,0.694821
850,0.699403
900,0.695199
950,0.68987
1000,0.695698
1050,0.691204
1100,0.692467
1150,0.696054
1200,0.692001
1250,0.692469
1300,0.693359
1350,0.692933
1400,0.692524
1450,0.689308
1500,0.690387
1550,0.694104
1600,0.688034
1650,0.678544
1700,0.703293
1750,0.679259
1800,0.697266
1850,0.696594
1900,0.69528
1950,0.691837
2000,0.692777
