step,train_bce
50,0.692913
100,0.691446
150,0.692115
200,0.693423
250,0.693548
300,0.691816
350,0.693265
400,0.69245
450,0.693282
500,0.693215
550,0.694802
600,0.692921
650,0.693291
700,0.693354
750,0.693117
800,0.693062
850,0.69451
900,0.693668
950,0.692942
1000,0.692861
1050,0.693769
1100,0.693136
1150,0.692584
1200,0.693676
1250,0.693899
1300,0.693771
1350,0.695389
1400,0.693523
1450,0.6934
1500,0.693216
1550,0.691591
1600,0.6932
1650,0.693321
1700,0.694867
1750,0.692859
1800,0.692933
1850,0.693541
1900,0.693125
1950,0.693143
2000,0.693159
