metric,scope,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A6_path_mmd2,native,0.00194846,8.352e-05,0.0019939799843723266,0.002013902886119745,0.0020350379206591288,0.001877160184634831,0.0018222063557401177
A7_terminal_mmd2,native,0.00195357,5.407e-05,0.001976170438271356,0.001993634137370942,0.002016787987118379,0.00190770473625013,0.001873572483431965
A8_increment_mmd2,native,0.00087135,1.411e-05,0.0008723762499953658,0.0008536434213437527,0.0008706977528818438,0.0008962931806821839,0.0008637400786655203
A9_volatility_mmd,native,0.00858746,0.00020301,0.008762061486384302,0.008766099228978072,0.008705261132045006,0.008449029189575259,0.008254857317465183
A10_terminal_swd,native,1.14138868,0.24020121,1.2938191916724815,1.1637597102820154,1.4947801675943122,0.8908585841993798,0.8637257514609448
A11_path_swd,native,0.72579547,0.0665055,0.8171916030088878,0.7490686136506718,0.7579262317611186,0.6789708433673171,0.6258200530781829
A20_cov_error,native,55.20323502,14.78776938,34.43836882392871,68.3969359876381,75.13538412572507,46.334837412175936,51.710648759631745
A25_mean_rmse,native,0.92338094,0.10630699,1.04529970056885,0.8002564879724506,0.7910476635513025,0.9849715862098257,0.9953292830609883
A18_disc_score_gru,native,0.0055234,0.00512656,0.00412,0.001678,0.000763,0.015105,0.005951
A18_disc_score_mlp,native,0.0060116,0.00231145,0.006256,0.009918,0.003509,0.003814,0.006561
A1_kurtosis_error,per-asset-mean,0.00838511,0.00216647,0.010653067618148937,0.00841711356139424,0.004647202735345635,0.007816152401694365,0.010392020067117647
A2_abs_r_q95_error,per-asset-mean,4.58e-05,1.071e-05,4.394711345583188e-05,5.671130629019989e-05,2.6123572610380844e-05,4.914328581347334e-05,5.3086421590841596e-05
A3_abs_r_q99_error,per-asset-mean,8.079e-05,2.305e-05,7.050120826358666e-05,0.00011680415964666771,5.5477545983016133e-05,6.3059696955321e-05,9.808820908864362e-05
A4_tail_qq_error,per-asset-mean,5.618e-05,7.96e-06,5.784803967281132e-05,6.126080221782524e-05,4.1025400167094944e-05,5.697109299716047e-05,6.381544907482564e-05
A5_hill_tail_index_error,per-asset-mean,0.58960899,0.02740984,0.5697752020781266,0.6061392208404512,0.5796147440831689,0.6343470489752698,0.5581687306102125
A12_rv_law_loss,per-asset-mean,0.06398134,0.00572611,0.06245956091783797,0.06982928851708502,0.05369162714476896,0.06559061437475497,0.06833560285234633
A13_mean_path_rmse,per-asset-mean,0.18342679,0.02888249,0.21198603571745384,0.1794158122983025,0.1345484149111383,0.2136777722287725,0.17750593330949732
A14_ks_logreturns,per-asset-mean,0.00096388,9.203e-05,0.0009577169836280063,0.0010010008792953311,0.000817348282650638,0.0011016116199265742,0.0009417286907059431
A15_skewness_error,per-asset-mean,0.00356775,0.00087502,0.005036179509119332,0.0030089452075563123,0.00410808976581609,0.0029337830437200455,0.002751743850223717
A16_qq_rmse,per-asset-mean,3.038e-05,3.42e-06,3.0884861344292194e-05,3.269617265438538e-05,2.3718370574677256e-05,3.1567222800536746e-05,3.301818318558548e-05
