step,train_bce
50,0.690628
100,0.693255
150,0.695065
200,0.702056
250,0.693337
300,0.6945
350,0.694782
400,0.693198
450,0.691954
500,0.695791
550,0.693044
600,0.692737
650,0.69308
700,0.693307
750,0.692987
800,0.693067
850,0.693433
900,0.692991
950,0.691061
1000,0.693125
1050,0.69332
1100,0.692229
1150,0.691932
1200,0.692789
1250,0.69246
1300,0.694418
1350,0.693561
1400,0.692997
1450,0.692979
1500,0.693473
1550,0.693188
1600,0.692116
1650,0.693673
1700,0.691337
1750,0.692108
1800,0.691637
1850,0.689323
1900,0.690687
1950,0.692905
2000,0.699834
