step,train_bce
50,0.693571
100,0.682558
150,0.694296
200,0.690914
250,0.692716
300,0.693002
350,0.692745
400,0.695101
450,0.693291
500,0.694178
550,0.694881
600,0.693545
650,0.692456
700,0.691356
750,0.694952
800,0.693052
850,0.693054
900,0.692291
950,0.693196
1000,0.692583
1050,0.695494
1100,0.692891
1150,0.693487
1200,0.693149
1250,0.693521
1300,0.692937
1350,0.693207
1400,0.693795
1450,0.69335
1500,0.693061
1550,0.690503
1600,0.694149
1650,0.693281
1700,0.693026
1750,0.693348
1800,0.692405
1850,0.693902
1900,0.693843
1950,0.693012
2000,0.693061
