metric,scope,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A6_path_mmd2,native,0.00274544,9.897e-05,0.0028388097857709876,0.002650247925922819,0.002887089577489163,0.0026494847985941636,0.002701590378095184
A7_terminal_mmd2,native,0.0025856,6.341e-05,0.0025588789253873645,0.002659324473394925,0.0026372466629252453,0.002479611032071758,0.0025929476223119224
A8_increment_mmd2,native,0.00089973,4.65e-06,0.0009005005707900526,0.0009030380301362495,0.0008956202814394132,0.0009060512607708127,0.000893424924999886
A9_volatility_mmd,native,0.27562979,0.00249332,0.27687433505525205,0.2747698823684289,0.27750630491032796,0.27112896284226917,0.2778694722726806
A10_terminal_swd,native,2.21740367,0.11017469,2.214792053649551,2.4242250033733033,2.173080312422573,2.0976858200172686,2.177235166811849
A11_path_swd,native,1.43402629,0.02651551,1.4144716805751523,1.393915589692542,1.43897502396437,1.4602289735222882,1.4625401599777823
A20_cov_error,native,754.59023201,6.17892158,765.1149104107351,752.8506190498732,752.3582622628451,756.3459316570743,746.2814366471774
A25_mean_rmse,native,2.08686898,0.48130146,1.3584170162501792,2.275389267701183,2.0682817824482793,2.8329025339419878,1.8993542840968802
A18_disc_score_gru,native,0.4807748,0.0107196,0.490845,0.47162,0.495117,0.467348,0.478944
A18_disc_score_mlp,native,0.0052792,0.00500439,0.001373,0.002289,0.013274,0.000458,0.009002
A1_kurtosis_error,per-asset-mean,0.62958533,0.00201313,0.6312530747020005,0.6306856210497509,0.6314346875600316,0.628323316985358,0.6262299474584867
A2_abs_r_q95_error,per-asset-mean,0.0035505,1.611e-05,0.003548133652835943,0.0035292389804423277,0.0035611542874873577,0.0035748961383400436,0.0035390737468304167
A3_abs_r_q99_error,per-asset-mean,0.00480866,3.375e-05,0.004805525385379943,0.00476303234005011,0.004836384200096397,0.004855322085857861,0.004783016287327075
A4_tail_qq_error,per-asset-mean,0.00353382,1.721e-05,0.003533478031603343,0.0035098116795696833,0.003542194546693485,0.003560594121662751,0.0035230052272954395
A5_hill_tail_index_error,per-asset-mean,3.27439372,0.14629124,3.365002179232804,3.44031277214199,3.038521956502584,3.3518661645350347,3.1762655125218435
A12_rv_law_loss,per-asset-mean,3.06259735,0.01584064,3.0704796932632865,3.0379385109228707,3.059642832865796,3.086266021334205,3.0586597142385714
A13_mean_path_rmse,per-asset-mean,0.43106138,0.10459804,0.27105052327813406,0.43458037749447476,0.4446014894044513,0.5991989227061629,0.4058755807641392
A14_ks_logreturns,per-asset-mean,0.04336255,0.00027547,0.04321149240926918,0.043010878847889684,0.04347192528713272,0.04382719366673929,0.0432912514979146
A15_skewness_error,per-asset-mean,0.05417984,0.001213,0.05414358039721162,0.05188975461108361,0.0547461514911767,0.05471241884469428,0.055407300640135715
A16_qq_rmse,per-asset-mean,0.00194255,7.27e-06,0.001944427887069805,0.0019303055097283422,0.0019455024838817695,0.0019523515053497535,0.0019401498111913298
A17_terminal_ks,per-asset-mean,0.04949341,0.00224746,0.0465850830078125,0.0497589111328125,0.0511322021484375,0.0525970458984375,0.047393798828125
A21_acf_abs,per-asset-mean,0.0460211,0.00028208,0.04625544358050275,0.04558255285598553,0.045932246425237404,0.045944280013433224,0.04639098621234097
A22_acf_sq,per-asset-mean,0.03329899,0.0002926,0.033482182874123925,0.03284465324359043,0.033256076670052835,0.033194348371658286,0.033717673249092986
A23_acf_lag1_abs_error,per-asset-mean,0.05307055,0.00034441,0.05346091267362186,0.05257047547017893,0.05276991565995323,0.0531861715526846,0.053365288572965644
A24_acf_lag1_sq_error,per-asset-mean,0.03838709,0.00042429,0.03862356681843945,0.03772148947601312,0.03806507010636462,0.038674942196424186,0.03885037013964804
A26_std_error,per-asset-mean,0.18681467,0.00032063,0.1870270629942739,0.18627660937692203,0.18686522071148182,0.18721584416995646,0.1866886289748126
A27_logreturn_std_error,per-asset-mean,0.00188775,9.11e-06,0.0018923096246183727,0.001872131085898524,0.0018863359416847112,0.001899926160942331,0.0018880271218812662
A28_kurtosis_ratio,per-asset-mean,1.30206182,0.01066341,1.3014760264981882,1.3113068545319924,1.3142582550940158,1.284001971406844,1.2992660146642931
A29_sigma_mean_error,per-asset-mean,0.03007747,0.0001254,0.03011027407227857,0.029862510768180233,0.030088825436210775,0.03025404310978654,0.03007169723993041
A30_vol_path_rmse,per-asset-mean,2.07942131,0.03411033,2.116667035798817,2.0431046867458504,2.0650524709917417,2.1236555468723157,2.0486268101316885
A31_rolling_vol_ks,per-asset-mean,0.16483184,0.00042923,0.1651428469762146,0.16398151104266828,0.16502256818145877,0.16505240621837047,0.16495986506041244
A32_vol_of_vol_error,per-asset-mean,0.00063354,4.43e-06,0.000640653243986949,0.0006286470757849419,0.0006329200907854747,0.0006360486052993944,0.0006294379884345723
A33_sigma_corr,per-asset-mean,-0.00049575,0.00151825,-0.0029388955970650775,0.00073285625847759,0.0007881309519358833,-0.0016250156837017231,0.0005641705442199691
A34_sigma_rmse,per-asset-mean,0.10183391,0.00016724,0.10186817360723296,0.10166814181518191,0.10174364657320006,0.10214286120692212,0.10174674147582576
B_log_ret_hist_funct,per-asset-mean,11.49708655,0.07925384,11.44675989654856,11.38635032537556,11.536526592278523,11.619780911635694,11.496015019253335
B_log_ret_hist_der,per-asset-mean,0.20294337,0.00235845,0.19910280603456074,0.20229480225998286,0.2033792969590928,0.2064254226021796,0.2035145067525729
B_log_ret_hist_sec_der,per-asset-mean,0.1204548,0.0081509,0.1056492880644033,0.12629181834752196,0.11983877269296916,0.1292844666185917,0.12120963396384657
B_log_ret_hist_funct_pct,per-asset-mean,29.47347895,0.15798481,29.432642448302502,29.269094254452515,29.570650925540612,29.72207962788638,29.37292750985995
B_log_ret_hist_der_pct,per-asset-mean,55.68908023,1.44506483,58.17353841185845,54.56936666150451,56.43069134330427,54.28489195292849,54.98691277666626
B_log_ret_hist_sec_der_pct,per-asset-mean,463.03217819,37.15164759,493.39870208794053,475.4202441710206,496.4656373441288,394.8921136640987,454.9841936696532
B_log_ret_hist_funct_nrmse,per-asset-mean,7.79275536,0.02095218,7.799534958867575,7.75265858479602,7.80009840608027,7.814402872933108,7.7970819729338
B_log_ret_hist_der_nrmse,per-asset-mean,24.20903058,0.15185287,24.05496266642944,24.14306144813967,24.144312355895305,24.49714151249683,24.205674897614628
B_log_ret_hist_sec_der_nrmse,per-asset-mean,38.03384196,1.10891664,36.29592077885535,38.909667086530845,37.46084121157848,39.459542764802194,38.04323793776106
B_log_ret_hist_funct_cvar90,per-asset-mean,17.78260481,0.0612526,17.807794446161964,17.661053123327694,17.818725174287948,17.823469599256654,17.801981729831855
B_log_ret_hist_funct_cvar95,per-asset-mean,19.27111064,0.0647571,19.27994011504176,19.15222068180373,19.305858073699824,19.345585757070527,19.271948585689234
B_qq_plot_funct,per-asset-mean,4.75e-06,3e-08,4.774825883636017e-06,4.691948177895946e-06,4.758055198278355e-06,4.785431351777849e-06,4.746410849828991e-06
B_qq_plot_der,per-asset-mean,4e-08,0.0,4.179681053200746e-08,3.9128720913598225e-08,4.008969956543941e-08,3.9615261546577286e-08,4.057039259664444e-08
B_qq_plot_sec_der,per-asset-mean,1e-08,0.0,7.2931549282436115e-09,6.078891394666862e-09,6.361441640218288e-09,6.457110301116504e-09,7.265024845221788e-09
B_qq_plot_funct_pct,per-asset-mean,22.40776212,0.26558363,22.214235809902014,22.230089546754748,22.434025917918092,22.91450010646679,22.245959234224593
B_qq_plot_der_pct,per-asset-mean,17.19233191,0.07845355,17.193059693191827,17.07736210605695,17.210147189992142,17.319885582502206,17.161204989800893
B_qq_plot_sec_der_pct,per-asset-mean,54.99655214,1.92284508,54.7951857849275,55.974713791286675,52.92592366237868,58.12991327369227,53.157024198864754
