step,train_bce
50,0.695888
100,0.693221
150,0.690894
200,0.693916
250,0.692474
300,0.694193
350,0.690948
400,0.693386
450,0.69366
500,0.69414
550,0.692724
600,0.693856
650,0.696323
700,0.689963
750,0.686873
800,0.304303
850,0.127942
900,0.163668
950,0.171517
1000,0.144431
1050,0.060395
1100,0.109143
1150,0.130691
1200,0.034545
1250,0.048815
1300,0.078437
1350,0.118638
1400,0.046368
1450,0.058906
1500,0.087026
1550,0.020254
1600,0.186581
1650,0.072643
1700,0.047935
1750,0.008941
1800,0.083004
1850,0.086141
1900,0.005792
1950,0.062419
2000,0.038882
