step,train_bce
50,0.694752
100,0.698384
150,0.699288
200,0.692254
250,0.69086
300,0.693082
350,0.693452
400,0.694704
450,0.691786
500,0.692009
550,0.693458
600,0.693064
650,0.692644
700,0.693253
750,0.69311
800,0.691729
850,0.692746
900,0.693147
950,0.69303
1000,0.692256
1050,0.69243
1100,0.693353
1150,0.693467
1200,0.691614
1250,0.692968
1300,0.693139
1350,0.693513
1400,0.693895
1450,0.694751
1500,0.694012
1550,0.69324
1600,0.693154
1650,0.692485
1700,0.693204
1750,0.692291
1800,0.691711
1850,0.69635
1900,0.692663
1950,0.693012
2000,0.692713
