step,calibration_nll,validation_nll
1,600.5097389293,20.5793683104
10,-10.2814137705,-10.3220171524
20,-10.3067992561,-10.3565698729
30,-10.3173395303,-10.3695076321
40,-10.3253885659,-10.3776432912
50,-10.3315081011,-10.3794992496
60,-10.3322011315,-10.3810225715
70,-10.3330914811,-10.3811462571
80,-10.3335427225,-10.3817609265
90,-10.3340622428,-10.3823831428
100,-10.3341865310,-10.3820133445
110,-10.3342515031,-10.3822803637
120,-10.3352464149,-10.3834999884
130,-10.3352429098,-10.3833798379
140,-10.3360388529,-10.3843848687
150,-10.3354685411,-10.3846633091
160,-10.3341559148,-10.3843623480
170,-10.3338571910,-10.3823934849
180,-10.3357813296,-10.3755657560
190,-10.3169261918,-10.3397722328
200,-10.3094431293,-10.3816509995
210,-10.3234337396,-10.3525348702
220,-10.3140366793,-10.3805086329
230,-10.3210654801,-10.3363995944
240,-10.2977867435,-10.3807395130
250,-10.3284973169,-10.3579840294
260,-10.3136005695,-10.3800448408
270,-10.3268733319,-10.3497958297
280,-10.3075454156,-10.3831080521
290,-10.3265104621,-10.3580618584
300,-10.3178729554,-10.3826557476
