step,train_bce
50,0.712087
100,0.695447
150,0.693048
200,0.690669
250,0.693091
300,0.690951
350,0.695091
400,0.693005
450,0.693128
500,0.693525
550,0.690329
600,0.692411
650,0.693286
700,0.693457
750,0.693127
800,0.695593
850,0.69345
900,0.692136
950,0.695217
1000,0.691647
1050,0.69313
1100,0.693205
1150,0.694456
1200,0.693162
1250,0.692963
1300,0.69292
1350,0.693071
1400,0.69308
1450,0.693271
1500,0.693902
1550,0.692982
1600,0.692681
1650,0.692421
1700,0.691233
1750,0.692931
1800,0.693189
1850,0.692701
1900,0.69297
1950,0.691442
2000,0.692209
