step,train_bce
50,0.693344
100,0.692207
150,0.6946
200,0.692727
250,0.694867
300,0.693284
350,0.693198
400,0.693505
450,0.692461
500,0.695418
550,0.694938
600,0.69276
650,0.692418
700,0.694617
750,0.69314
800,0.693167
850,0.693218
900,0.692962
950,0.693374
1000,0.691585
1050,0.693603
1100,0.694495
1150,0.692568
1200,0.693
1250,0.693124
1300,0.693997
1350,0.693335
1400,0.693137
1450,0.693318
1500,0.692295
1550,0.694059
1600,0.690406
1650,0.692964
1700,0.693065
1750,0.691604
1800,0.69407
1850,0.693113
1900,0.692165
1950,0.692825
2000,0.693258
