metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.202858,0.098613,0.16921743785571763,0.10618934600753072,0.09980078063294062,0.3073817322945773,0.3316991522426589
A2_abs_r_q95_error,0.000374,0.000321,0.0009792057727962891,0.0002029310926491973,0.00027821549977438687,0.00036717029179547667,4.009785256524345e-05
A3_abs_r_q99_error,0.000271,0.000183,0.0005491116158699849,1.145349608189239e-05,0.0003863751098208412,0.00021230305958483409,0.00019451842539143505
A4_tail_qq_error,0.000474,0.000261,0.0009021799632115996,0.00018513066059363606,0.00021859242683513122,0.0004977954035765855,0.0005678600959861037
A5_hill_tail_index_error,0.169118,0.130881,0.3920693080848121,0.0009405447896586594,0.16571581714651273,0.19967832020961396,0.08718425108809136
A6_path_mmd2,0.001871,0.000186,0.001996709478953973,0.0017213786502341955,0.0018548801898446154,0.0016328073473521054,0.002150906669174668
A7_terminal_mmd2,0.002072,0.001042,0.004080160452146098,0.0016077084208900305,0.0014353137549606154,0.0011932778597952831,0.0020456514250764835
A8_increment_mmd2,0.001331,0.000201,0.0013369721025872083,0.001279866145249775,0.001067633314520755,0.0012822877716874848,0.001687746887219621
A9_volatility_mmd,0.017228,0.004255,0.019148098776637562,0.01300999427485136,0.012416523149237385,0.01757201046929724,0.023992841740491627
A10_terminal_swd,1.195684,0.364757,1.829620874815945,0.9565407530688396,0.9903912937465776,0.8306802098065772,1.371184872707853
A11_path_swd,0.616316,0.11155,0.7431690284968671,0.5810067401742106,0.5720077867306682,0.4481299886894558,0.7372661875511028
A12_rv_law_loss,0.40919,0.085343,0.5505280842291645,0.30795724583511963,0.3548089017449201,0.37674883603789716,0.45590855981167283
A13_mean_path_rmse,0.271958,0.122799,0.10595055950918904,0.3022727890612078,0.4763604133732611,0.27488500278620104,0.2003231225376296
A14_ks_logreturns,0.016585,0.001275,0.01513671875,0.01654293030265752,0.017814576156496065,0.01521841935285434,0.018214428518700698
A15_skewness_error,0.055268,0.030994,0.08673367147259266,0.020344226669001247,0.018010632476851505,0.061908124299140194,0.08934408368551013
A16_qq_rmse,0.000605,4.7e-05,0.0005818677586665779,0.0005763181745686412,0.0006160886430699349,0.0005587476378195539,0.000690436689582466
A17_terminal_ks,0.024707,0.00835,0.040283203125,0.0201416015625,0.0194091796875,0.0263671875,0.017333984375
A18_disc_score_gru,0.005951,0.002978,0.010528,0.006866,0.001373,0.006256,0.00473
A18_disc_score_mlp,0.003692,0.001926,0.003509,0.00534,0.003204,0.005951,0.000458
A19_pred_score_gru,0.046436,3.3e-05,0.046501,0.046428,0.046423,0.046418,0.04641
A19_pred_score_mlp,0.048231,0.000233,0.048507,0.047996,0.048303,0.048429,0.04792
A20_cov_error,27.608723,30.771627,86.39083942449662,9.307828765615227,11.286771380711343,1.6372918986792797,29.42088574176489
A21_acf_abs,0.004525,0.001307,0.0065934717744019836,0.004760827236890967,0.003636488193523489,0.004917475116385607,0.0027173121781867565
A22_acf_sq,0.003703,0.00148,0.0022256559321641722,0.003427837357923496,0.0045497216078448435,0.002210935952458616,0.0060998218185411325
A23_acf_lag1_abs_error,0.00452,0.002169,0.006435188163546379,0.006145844563042818,0.00472568118503508,0.004901278825940825,0.00039288591650038507
A24_acf_lag1_sq_error,0.006756,0.002226,0.00598226022843526,0.006816320796654424,0.00714651104344266,0.0034549291859265474,0.010379777905445003
A25_mean_rmse,0.57119,0.176597,0.3000224274224337,0.43959391539779347,0.7017289698482756,0.7814274830384846,0.6331749669848676
A26_std_error,0.025098,0.01415,0.011096851628247695,0.03277582104629917,0.04031497191745448,0.005240821339554502,0.03606356811008782
A27_logreturn_std_error,0.000202,0.000107,4.040692073208063e-05,0.0002229588591568174,0.00023122344263806077,0.0001503972470830485,0.00036648125818792773
A28_kurtosis_ratio,1.041088,0.108948,0.8261097285009411,1.0927622970688247,1.118783659376487,1.064385684928579,1.1033987144291835
A29_sigma_mean_error,0.005434,0.001806,0.002837810643228078,0.00543770360879936,0.005977679415822723,0.004565478815547919,0.008351373592763611
A30_vol_path_rmse,0.328006,0.224736,0.7731820541993262,0.210777378959746,0.2333497104662826,0.16427636738873796,0.25844480025951355
A31_rolling_vol_ks,0.069174,0.002512,0.06938655201981708,0.07119577299288615,0.06890422541920732,0.06462680227388212,0.07175848736026419
A32_vol_of_vol_error,0.000305,3.3e-05,0.0003094327881889014,0.000315230555753325,0.00033088310625939595,0.00033065858601916825,0.0002410176013372574
A33_sigma_corr,,,,,,,
A34_sigma_rmse,,,,,,,
B_log_ret_hist_funct,0.861469,0.059031,0.8356232168663946,0.889799635480657,0.8778619255105731,0.7639808648918247,0.9400807481225675
B_log_ret_hist_der,0.085643,0.006396,0.08144625502357554,0.08780118848682401,0.08315825453398003,0.09701159713089785,0.07879976451502886
B_log_ret_hist_sec_der,0.13362,0.033382,0.12585461474616388,0.13782789165266654,0.1260618418543199,0.19101753600094187,0.08733688371488199
B_log_ret_hist_funct_pct,6.363063,0.571199,7.4480140884968185,5.756048986362073,6.132602483612595,6.271103161941012,6.207545266266801
B_log_ret_hist_der_pct,84.35659,10.328288,83.28384834866783,88.58945873674628,81.32552385338272,100.18394601717418,68.40017455723078
B_log_ret_hist_sec_der_pct,232.796397,17.54868,256.4439133603668,246.78863335890938,205.82564863270596,227.94041815019375,226.98336907268626
B_log_ret_hist_funct_nrmse,2.615123,0.090425,2.5771339392868167,2.6593644151793403,2.6414649240702155,2.464183141155242,2.733470056831751
B_log_ret_hist_der_nrmse,9.154252,0.337371,8.933181642163323,9.275147016435845,9.02658107764056,9.749501987277801,8.786847006442839
B_log_ret_hist_sec_der_nrmse,21.467182,2.677695,20.995527215011734,21.971553697480093,21.012805297704702,25.865973699344412,17.490050287764838
B_log_ret_hist_funct_cvar90,6.677771,0.329988,6.428677034242897,6.83616174459558,6.811889191150214,6.187879130652855,7.124249091089571
B_log_ret_hist_funct_cvar95,8.266865,0.36403,7.891357557144479,8.388963974642854,8.44292146750862,7.819388602592495,8.791693876949882
B_qq_plot_funct,0.0,0.0,3.3569424410906693e-07,3.3089971624082916e-07,3.779666626319813e-07,3.1585251770088883e-07,4.905963608703888e-07
B_qq_plot_der,0.0,0.0,1.0633654425469948e-08,4.704746973533142e-09,5.490297573369084e-09,8.815631022099497e-09,1.3327510002943499e-08
B_qq_plot_sec_der,0.0,0.0,3.047718604477986e-09,2.133630566884328e-09,2.648073263614128e-09,1.6433213853273397e-09,3.0528589295418653e-09
B_qq_plot_funct_pct,7.447528,0.835319,6.611066227162449,7.028424816800248,8.44152030690072,6.686337422317627,8.470290637098264
B_qq_plot_der_pct,6.956495,0.286046,6.951697669965435,6.790205340108877,7.0809972030177555,6.552674413536335,7.406900534075269
B_qq_plot_sec_der_pct,57.708035,4.378409,55.70594859839299,61.97605332363337,63.47995912869679,51.687939803555984,55.690276423394394
B_qq_plot_funct_nrmse,0.949392,0.078542,0.9071505584341271,0.9006491059088881,0.9625741019853526,0.8799329819603586,1.0966538965047548
B_qq_plot_der_nrmse,0.726072,0.140014,0.8225123312745627,0.5471032343939296,0.5910157960267153,0.7489069289712786,0.9208219327712162
B_qq_plot_sec_der_nrmse,0.809902,0.092271,0.8990955494564433,0.7522774211263843,0.8380760175976422,0.6602063061592176,0.8998534436219957
B_qq_plot_funct_cvar90,0.802367,0.08637,0.7103921806299224,0.7635528694721705,0.8613755235817276,0.7351182482818497,0.9413949774585042
B_qq_plot_funct_cvar95,0.840247,0.098561,0.743229530515359,0.7785290053304198,0.905422857109044,0.7714307873723364,1.0026243035231137
B_acf_abs_r_funct,2.6e-05,7e-06,3.03154613834e-05,1.8643805138991408e-05,2.991213436261287e-05,1.72034309024415e-05,3.555796637941264e-05
B_acf_abs_r_der,3e-06,1e-06,4.421782099647349e-06,3.4846647306595283e-06,2.1631233302411043e-06,3.1198611978696374e-06,4.0916331444436215e-06
B_acf_abs_r_sec_der,8e-06,2e-06,9.931748576468633e-06,9.006667155822804e-06,4.249015178646e-06,6.6903146105932165e-06,9.773704410399105e-06
