step,train_bce
50,0.692474
100,0.69666
150,0.693035
200,0.694145
250,0.694122
300,0.692895
350,0.693249
400,0.693573
450,0.693044
500,0.693125
550,0.694281
600,0.6932
650,0.693232
700,0.693067
750,0.693413
800,0.692706
850,0.693492
900,0.69227
950,0.690743
1000,0.69224
1050,0.69342
1100,0.69294
1150,0.692865
1200,0.694034
1250,0.693193
1300,0.692788
1350,0.691777
1400,0.690269
1450,0.692934
1500,0.69132
1550,0.693121
1600,0.694298
1650,0.693131
1700,0.693205
1750,0.693351
1800,0.693782
1850,0.692692
1900,0.692991
1950,0.694275
2000,0.69283
