step,train_bce
50,0.693086
100,0.693086
150,0.694818
200,0.693374
250,0.692561
300,0.692747
350,0.69361
400,0.693589
450,0.693105
500,0.69122
550,0.693391
600,0.692679
650,0.692962
700,0.692368
750,0.693237
800,0.693684
850,0.696466
900,0.692795
950,0.694559
1000,0.693183
1050,0.692406
1100,0.693467
1150,0.693254
1200,0.693703
1250,0.692425
1300,0.692859
1350,0.693316
1400,0.691302
1450,0.693543
1500,0.692127
1550,0.692467
1600,0.692729
1650,0.692176
1700,0.695325
1750,0.693181
1800,0.692654
1850,0.692791
1900,0.69315
1950,0.693298
2000,0.692244
