metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.555029,0.127515,0.4515602068050262,0.5840984191366845,0.3949685266307208,0.5810330699032855,0.7634843859075344
A2_abs_r_q95_error,0.002722,0.0012,0.0032276085690724696,0.0031720722241682583,0.000814566814165342,0.0020476605879187135,0.004347815449769456
A3_abs_r_q99_error,0.002556,0.001016,0.0024219001642645094,0.002963481977753972,0.0010306787369149945,0.002216042829058948,0.004146849437853269
A4_tail_qq_error,0.002769,0.001209,0.003311964656637053,0.003261728870895012,0.0008549597431695116,0.002042521063317262,0.004375072690530855
A5_hill_tail_index_error,17.470496,6.113926,16.30512634762666,24.34404771559715,17.595816177222723,6.767023882353234,22.340466769979592
A6_path_mmd2,0.004667,0.001614,0.005314919831572756,0.006396186026146111,0.002646558536207849,0.0028346859397908875,0.006144121796392538
A7_terminal_mmd2,0.007824,0.00254,0.00894046692343961,0.009923449137929086,0.003980220494537917,0.005724333200200299,0.01054906344938289
A8_increment_mmd2,0.002381,0.000752,0.0029915531430311226,0.002449878920432802,0.0015753785538409337,0.0014962768366959533,0.003390653218234174
A9_volatility_mmd,0.046978,0.018525,0.06446956035212822,0.047157117779866226,0.02900994600323134,0.02381363355104779,0.07043788012004959
A10_terminal_swd,4.865666,1.165986,5.005998435735708,5.347980182708256,2.998026003011022,4.41993636386769,6.5563878875727495
A11_path_swd,2.127431,0.644741,1.976593817900445,3.04472609634937,1.3862960351875087,1.5382838977765223,2.6912547157793663
A12_rv_law_loss,1.684999,0.618942,1.8648213820400226,2.0159669405472833,0.6197367066081994,1.469759407829844,2.4547128640305473
A13_mean_path_rmse,2.291386,0.840591,1.3925729925709913,3.8435847204662696,1.7336076695238734,2.2368800649276364,2.250286540952202
A14_ks_logreturns,0.023399,0.009334,0.02191594641978345,0.035859836368110215,0.009190837229330673,0.019055464136318895,0.030974140317421267
A15_skewness_error,0.026669,0.019222,0.0009806043546074748,0.015857428940415898,0.04250163555520289,0.019591007962585564,0.05441425704978696
A16_qq_rmse,0.001578,0.000591,0.0017869447955297375,0.0019494255728636427,0.0005875982934011976,0.0012839784072828171,0.0022812960654594815
A17_terminal_ks,0.095068,0.024282,0.0814208984375,0.1334228515625,0.06201171875,0.0902099609375,0.1082763671875
A18_disc_score_gru,0.019561,0.025789,0.070644,0.002289,0.00412,0.012664,0.008087
A18_disc_score_mlp,0.035551,0.030404,0.084986,0.054165,0.026396,0.003509,0.008697
A19_pred_score_gru,0.046419,1e-05,0.046408,0.046429,0.046405,0.046426,0.046428
A19_pred_score_mlp,0.048048,0.000121,0.048065,0.047935,0.048269,0.048024,0.047946
A20_cov_error,123.953778,11.551773,126.52382162124508,141.52212187349272,117.63018446993891,106.64077420304454,127.4519900592664
A21_acf_abs,0.014973,0.004922,0.023711493461599696,0.009511664674130303,0.011906572106305385,0.013208823361108325,0.016523970977242945
A22_acf_sq,0.005975,0.001634,0.0088850426939047,0.004235555440818096,0.004699563043040006,0.005691428345639814,0.006363061142717875
A23_acf_lag1_abs_error,0.015001,0.00569,0.02390705225015427,0.006344511024857946,0.015897201943255612,0.016186046702973522,0.012672413859368514
A24_acf_lag1_sq_error,0.005303,0.003491,0.007070241178796177,0.0002822384856226434,0.00840475563032797,0.008768057349934688,0.001990938130627118
A25_mean_rmse,3.603182,1.125707,2.6887417292538487,5.006086466260896,2.0270136163266983,4.624467637969573,3.6696020605634914
A26_std_error,0.116302,0.042796,0.16117709285792126,0.10282628409077788,0.08475344303677068,0.06175541605703527,0.17099627798714612
A27_logreturn_std_error,0.00141,0.000549,0.0015727281952376305,0.0017152230546580091,0.000496333685830231,0.0011538038575771362,0.0021094670098971077
A28_kurtosis_ratio,0.897165,0.161984,0.7808461975044015,0.7640535763271494,1.0431083888912847,1.1403392369772047,0.7574767556887286
A29_sigma_mean_error,0.025196,0.009232,0.027703314941919577,0.031245270606946818,0.009649779501479994,0.02103989795176764,0.03634389083100553
A30_vol_path_rmse,1.201508,0.213257,1.0855168488775129,1.5836373598089826,1.1413049386016376,0.9517627512909237,1.2453168177374236
A31_rolling_vol_ks,0.064422,0.023914,0.0730377445376017,0.0957090796493903,0.025969218432418728,0.050917214494410556,0.07647655456046742
A32_vol_of_vol_error,0.000584,0.000172,0.0006826590720521008,0.0004799980573174205,0.00035940184170247386,0.0005390071352424173,0.0008585933136515886
A33_sigma_corr,,,,,,,
A34_sigma_rmse,,,,,,,
B_log_ret_hist_funct,0.881196,0.68357,0.5799818741020831,1.8982350488699742,0.07801990620417289,0.39461950008328417,1.4551243665157412
B_log_ret_hist_der,0.07144,0.031102,0.05662235911605088,0.12197540959445556,0.0329050622688694,0.055903206907289116,0.08979470865348052
B_log_ret_hist_sec_der,0.133314,0.02436,0.15939180092954935,0.13204401389193043,0.08781736038332405,0.1427968829511776,0.1445215588556334
B_log_ret_hist_funct_pct,12.520436,4.596758,14.54137086221018,15.440588703254669,4.723164963447083,10.195987173076446,17.701068632978206
B_log_ret_hist_der_pct,89.57131,6.374741,84.81318446608678,98.54618040127264,84.14340186946963,96.08463741154608,84.26914661660174
B_log_ret_hist_sec_der_pct,244.829489,63.145969,319.9340974807211,321.71384223629957,214.60157320831667,189.35995688479127,178.53797386039935
B_log_ret_hist_funct_nrmse,2.398113,1.119326,2.147034148483049,3.8842460735414717,0.787470790156184,1.7710099960499956,3.4008055289403676
B_log_ret_hist_der_nrmse,8.167904,1.811908,7.448427327055672,10.932179336184074,5.6780859648188615,7.4009754889562105,9.37985182250776
B_log_ret_hist_sec_der_nrmse,21.506893,2.096123,23.627904189660683,21.505600364898086,17.53809433596612,22.36410775321873,22.4987573059622
B_log_ret_hist_funct_cvar90,6.21235,3.273124,4.966768842431405,10.630256892844653,1.8097469753450786,4.341769606012997,9.313209881125282
B_log_ret_hist_funct_cvar95,7.341804,4.012458,5.6258369487704085,12.896220826078372,2.099345762042737,5.0243711993559685,11.063245881365964
B_qq_plot_funct,3e-06,2e-06,3.2016332657659764e-06,3.830189139114316e-06,3.5188511224455537e-07,1.6725044301619763e-06,5.276526409996004e-06
B_qq_plot_der,0.0,0.0,2.7817470806290998e-08,1.2357181927081975e-08,2.985991677852578e-09,5.993063434834579e-09,1.975787509469965e-08
B_qq_plot_sec_der,0.0,0.0,2.764314318987445e-09,2.8340665236024974e-09,1.8485507661843287e-09,1.4208654607845702e-09,2.3546133303711917e-09
B_qq_plot_funct_pct,14.886019,6.270488,14.93817146925658,23.658038486761818,4.286631741696935,14.08227806624282,17.46497708163698
B_qq_plot_der_pct,9.257053,3.346802,9.781262380786636,12.220497888817668,3.573081038541252,7.882445085106195,12.827980585715023
B_qq_plot_sec_der_pct,66.856475,6.377585,61.35314478277928,57.697594386319196,68.35932302475587,73.856393395748,73.01592129616743
B_qq_plot_funct_nrmse,2.483168,0.927869,2.8015167068437776,3.064203011629143,0.9287693421181875,2.024841639707797,3.59651174548345
B_qq_plot_der_nrmse,0.878302,0.324705,1.3303317830383665,0.8866676565810919,0.4358584228040835,0.6174838222473439,1.121169472807907
B_qq_plot_sec_der_nrmse,0.765534,0.096336,0.8562727564011101,0.8670086590281864,0.7002193465089216,0.6138961270024496,0.7902749464660312
B_qq_plot_funct_cvar90,2.644816,0.932003,3.0277211784373073,3.0790393174212167,1.1358826934185215,2.12705948418624,3.8543755512552362
B_qq_plot_funct_cvar95,2.738876,0.960157,3.179237387095901,3.200788490686022,1.1832999496426213,2.1798038997224194,3.9512496411770863
B_acf_abs_r_funct,0.000272,0.000141,0.0004682591165234449,0.0001906113973123794,0.00010679744784060407,0.0001845339339930491,0.0004119314434983489
B_acf_abs_r_der,4e-06,1e-06,4.134022865926396e-06,2.185422353931375e-06,3.988889719114422e-06,4.312889681328991e-06,3.747056489040339e-06
B_acf_abs_r_sec_der,9e-06,3e-06,1.093706775214758e-05,4.631051942202356e-06,9.928156030083668e-06,1.1971493449040463e-05,8.980429219362147e-06
B_acf_abs_r_funct_pct,8.585,2.404895,11.347946874033758,7.76666943768596,5.155085030396213,7.359567337071514,11.29573177601085
B_acf_abs_r_der_pct,24.139826,3.157355,24.74198668533249,20.196702654154592,28.545872530566925,20.96595896292815,26.248607548668506
B_acf_abs_r_sec_der_pct,388.453555,122.281738,500.3121742958093,304.984034042416,494.43192471116186,188.93335066798852,453.60629267658885
B_acf_abs_r_funct_nrmse,12.564892,3.400989,17.065948506981844,10.888341730232028,8.150190265079386,10.713353380828346,16.006625426650352
B_acf_abs_r_der_nrmse,42.799267,4.89789,45.69817463264117,33.22615649351784,44.88884494337235,46.67631805748918,43.50683952718561
B_acf_abs_r_sec_der_nrmse,71.95096,10.925982,78.96561632953932,51.38394027640621,75.23533777586036,82.6155396950894,71.5543638996959
B_acf_abs_r_funct_cvar90,15.521472,3.64514,21.262427036306512,14.109320501903511,11.583082018896619,12.507102999945129,18.14542949120898
B_acf_abs_r_funct_cvar95,16.166111,3.602757,22.06001908278818,14.847256049558949,12.636918284865637,12.866525208058638,18.419838686355476
B_acf_sq_r_funct,7.3e-05,4.2e-05,8.677849090586064e-05,7.858176912101732e-05,1.8974799794712997e-05,4.135192003659428e-05,0.00014042696425617352
B_acf_sq_r_der,6e-06,1e-06,6.846692981054917e-06,4.895141592074302e-06,6.349326824353954e-06,6.266495821615004e-06,4.887498071052264e-06
B_acf_sq_r_sec_der,1.6e-05,4e-06,2.242867164312427e-05,1.3076195803407527e-05,1.5524719799133755e-05,1.6727052229213258e-05,1.072175990133982e-05
B_acf_sq_r_funct_pct,7.197675,2.600791,8.189494671673755,8.124646106140684,3.186441650178799,5.626796295220828,10.86099730340669
B_acf_sq_r_der_pct,64.994939,5.775108,71.20028116473291,67.08470398654816,69.61426276090428,55.44284660417061,61.63259898038213
B_acf_sq_r_sec_der_pct,174.517868,34.282227,213.71635230368878,151.21094678341157,213.22730352414138,127.12300838220621,167.3117294568771
B_acf_sq_r_funct_nrmse,9.665274,3.037572,11.029363523622473,10.495552500724866,5.157426003129912,7.613638354568295,14.030387252058663
B_acf_sq_r_der_nrmse,40.406254,2.823584,43.82327684932155,37.05501989256401,42.201536452961285,41.92535984238228,37.02607880196236
B_acf_sq_r_sec_der_nrmse,88.983686,11.104634,107.19580569328558,81.84963063953514,89.18419602648726,92.57329517666783,74.11550211012919
B_acf_sq_r_funct_cvar90,13.415295,3.4779,14.244033752894497,15.519852260302299,9.02260225675926,9.96155618436887,18.3284303336715
B_acf_sq_r_funct_cvar95,13.970915,3.302902,14.471846345953818,16.364995305247263,10.030040139826358,10.463595973070868,18.52409696396486
B_roll_vol_hist_funct,24.573412,15.159745,23.739458736691653,51.40714318911751,7.925364398125533,12.567475983535623,27.227615669674798
B_roll_vol_hist_der,0.941947,0.655588,0.6308558095150124,2.2468775179962566,0.5463361586585976,0.5594300111931265,0.7262348718535037
B_roll_vol_hist_sec_der,0.605863,0.101188,0.5050221830741993,0.6994296038276283,0.6375383745189569,0.7181004386064533,0.4692230594755048
B_roll_vol_hist_funct_pct,16.394341,4.372331,18.26644300141521,20.12150399716732,8.744457281834213,14.455985047464251,20.38331725909609
B_roll_vol_hist_der_pct,130.387817,9.914783,119.60006218607057,121.6623233797552,129.34175949529444,134.0884133065628,147.2465271190867
B_roll_vol_hist_sec_der_pct,419.551332,63.170148,339.57414204539936,452.18214634960043,447.012270802409,505.45258738931057,353.5355145664031
B_roll_vol_hist_funct_nrmse,5.021018,1.596529,5.178556170500227,7.620527239871628,2.992146853566613,3.7678822039477438,5.545977339811184
B_roll_vol_hist_der_nrmse,7.323569,2.284665,6.278286747311801,11.848566033536818,5.842598814800351,5.91219805597083,6.736194884936913
B_roll_vol_hist_sec_der_nrmse,21.781281,1.85412,19.95810662910319,23.487463392086667,22.42421643608922,23.798890298555396,19.237728202964956
B_roll_vol_hist_funct_cvar90,13.462277,4.527128,13.024705798826549,21.223461926980153,8.013754632549148,10.22227787398323,14.827184295434215
B_roll_vol_hist_funct_cvar95,15.514523,5.55935,14.284350527017256,25.549374124838025,9.541813109599104,11.584874773419012,16.612200411427693
B_tail_surv_funct,0.000725,0.000529,0.0005335551115342205,0.001362740929068794,4.6884067644373156e-05,0.00035688099998469635,0.0013265757757810748
B_tail_surv_der,1e-06,1e-06,8.801829892396819e-07,1.3593352819696846e-06,1.172442565496401e-07,4.858130591788371e-07,1.4407715975533764e-06
B_tail_surv_sec_der,0.0,0.0,3.691277600158117e-08,3.529699607061135e-08,3.900140022114892e-08,3.7359959222861914e-08,3.3075843091173254e-08
