step,train_bce
50,0.692741
100,0.693475
150,0.693171
200,0.692189
250,0.694897
300,0.696397
350,0.69248
400,0.692846
450,0.693015
500,0.692808
550,0.692656
600,0.693045
650,0.693209
700,0.698832
750,0.694218
800,0.693288
850,0.693036
900,0.693024
950,0.692636
1000,0.692505
1050,0.692136
1100,0.692734
1150,0.692887
1200,0.694008
1250,0.69329
1300,0.693038
1350,0.69312
1400,0.693126
1450,0.6927
1500,0.693774
1550,0.692225
1600,0.692855
1650,0.693061
1700,0.695332
1750,0.692806
1800,0.692639
1850,0.693227
1900,0.692826
1950,0.693195
2000,0.694547
