step,train_bce
50,0.692999
100,0.693083
150,0.697307
200,0.698422
250,0.693064
300,0.694151
350,0.691369
400,0.693071
450,0.6928
500,0.695034
550,0.692706
600,0.691428
650,0.692904
700,0.693068
750,0.693148
800,0.694042
850,0.69277
900,0.693125
950,0.692026
1000,0.693031
1050,0.693289
1100,0.692273
1150,0.694024
1200,0.692881
1250,0.691535
1300,0.694146
1350,0.694406
1400,0.693072
1450,0.69353
1500,0.692881
1550,0.693446
1600,0.692954
1650,0.692672
1700,0.691866
1750,0.693524
1800,0.694508
1850,0.693157
1900,0.692579
1950,0.692888
2000,0.69356
