metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.060101,0.034145,0.11380726993809454,0.08563500237795552,0.02733144543128585,0.045215068318752216,0.028516467247891697
A2_abs_r_q95_error,6.5e-05,4e-05,1.1805807015943803e-05,5.452047151285888e-05,7.954712848205758e-05,4.667285222844514e-05,0.00013173448939078625
A3_abs_r_q99_error,8.3e-05,3.2e-05,9.601001195677639e-05,0.0001386681549753327,4.517605883479214e-05,7.234997782613883e-05,6.154557999885069e-05
A4_tail_qq_error,9.3e-05,4e-05,4.594414030874225e-05,0.0001656796392396534,7.783272471759556e-05,8.519951390602576e-05,8.817281277811937e-05
A5_hill_tail_index_error,0.407724,0.281635,0.022543160115134242,0.4151943825327198,0.8231532925123872,0.19536963621332148,0.5823573301012779
A6_path_mmd2,0.001773,5e-05,0.001731492166083537,0.0016962905895600011,0.001828836453077215,0.001810381264464811,0.001797242100430585
A7_terminal_mmd2,0.001704,0.000231,0.0017744204196172564,0.0018357092338113223,0.0018125258022268498,0.0012456265567551694,0.0018510857855199292
A8_increment_mmd2,0.001077,5.5e-05,0.001036947335060212,0.0010068700920371487,0.0010962666171359103,0.0011671729433649913,0.0010754240457546693
A9_volatility_mmd,0.010544,0.000394,0.010772925326534705,0.009865604225174185,0.010350160873211278,0.0107755493999879,0.01095794191544322
A10_terminal_swd,1.029066,0.165031,0.9468789395399014,0.8947918009825498,1.3520065806379478,0.9490601013741347,1.0025915129273195
A11_path_swd,0.542455,0.064674,0.552419816224875,0.4299013460897335,0.54652029113856,0.551247368889593,0.6321880822083241
A12_rv_law_loss,0.062255,0.01177,0.06315035023904532,0.04942599351518247,0.08384540140847213,0.05473793157901495,0.0601133426934177
A13_mean_path_rmse,0.119593,0.021708,0.1320862567954609,0.15068286291306146,0.11276112473634699,0.0852240030349895,0.1172114259291551
A14_ks_logreturns,0.001131,8.7e-05,0.001108244648129919,0.001140924889271644,0.0012130136564960647,0.0012158972071850682,0.0009784848671259283
A15_skewness_error,0.003295,0.000926,0.0016288178221878016,0.0031724600926282542,0.0042894382678629675,0.004002404414343047,0.0033834992071703103
A16_qq_rmse,4.9e-05,8e-06,4.2578576159825366e-05,6.148049024319581e-05,5.3938234082748184e-05,4.098795999199154e-05,4.653175483918116e-05
A17_terminal_ks,0.012012,0.002852,0.014404296875,0.016357421875,0.010498046875,0.0096435546875,0.0091552734375
A18_disc_score_gru,0.007354,0.005054,0.003204,0.01419,0.001373,0.012359,0.005645
A18_disc_score_mlp,0.004242,0.002048,0.004425,0.001678,0.004425,0.007782,0.002899
A19_pred_score_gru,0.046417,1.4e-05,0.046426,0.046437,0.046404,0.0464,0.046417
A19_pred_score_mlp,0.048241,0.000376,0.048,0.048007,0.048961,0.048267,0.04797
A20_cov_error,17.282602,8.06104,10.692172814402738,28.79938010887338,24.66518534091057,8.08064008932837,14.175629436921781
A21_acf_abs,0.0016,0.000673,0.0017412606934545244,0.0009078454994163737,0.001998971707457914,0.0007837908146296618,0.002569046710553906
A22_acf_sq,0.001299,0.000575,0.0017098564256717921,0.0005823306046658927,0.0018300669327381627,0.0006096887219784637,0.001763165678722492
A23_acf_lag1_abs_error,0.001511,0.00102,0.0013040040660021734,0.0009100079202667422,0.001754963548068339,0.0002785172619056975,0.003305143660976395
A24_acf_lag1_sq_error,0.000985,0.000709,0.0006068370706876491,0.0003031253946973733,0.0016385908689002249,0.0003529835594081876,0.00202298708399562
A25_mean_rmse,0.203377,0.108213,0.27828827467614303,0.23675055926371158,0.3455307290211067,0.06682303173356274,0.08949233882079
A26_std_error,0.004413,0.002135,0.006183234681292005,0.001792418495332404,0.004377129907291666,0.0023656977354427067,0.007346484331702596
A27_logreturn_std_error,2.8e-05,1.3e-05,5.512145908725258e-06,2.778770494429525e-05,3.241246326044639e-05,2.8643811945637532e-05,4.5459285554147466e-05
A28_kurtosis_ratio,0.991589,0.003828,0.985159990442161,0.9932576687167883,0.9968622253440871,0.9921093787174832,0.9905575556168205
A29_sigma_mean_error,0.000392,0.000241,0.00011344653409195438,0.0003377986891763274,0.00022333552717213045,0.00047778076333149233,0.0008079969068710002
A30_vol_path_rmse,0.190091,0.081035,0.16590782656324315,0.3228095846936431,0.23432120186555552,0.09124559669971052,0.13616949312869187
A31_rolling_vol_ks,0.001917,0.000426,0.0024721719385162877,0.0015769896468496025,0.0023639958079268164,0.0017665459857723609,0.0014062896976626549
A32_vol_of_vol_error,2.1e-05,1e-05,1.3075060088661022e-05,1.5435591195303924e-05,2.3731340104946735e-05,1.5007489446194552e-05,3.9556753832088384e-05
A33_sigma_corr,,,,,,,
A34_sigma_rmse,,,,,,,
B_log_ret_hist_funct,0.014856,0.003425,0.01918847903132881,0.013234547561971552,0.017367836440265284,0.015187171627037295,0.009303775550398134
B_log_ret_hist_der,0.034901,0.008976,0.04757333200033433,0.03044593282294257,0.039382802958652485,0.03635096053649004,0.020751446673235002
B_log_ret_hist_sec_der,0.113816,0.031972,0.15812524075085693,0.0990557244642473,0.12781724955751106,0.12191883506666135,0.06216222798803149
B_log_ret_hist_funct_pct,2.009409,0.05908,1.932594603966571,2.060262159851143,2.0924544535492666,1.9660373624860898,1.9956987918064872
B_log_ret_hist_der_pct,73.919995,5.283808,65.14036092436143,70.9949570715138,80.15384522493288,76.90984526190286,76.40096768100223
B_log_ret_hist_sec_der_pct,210.243605,25.630923,203.5949610724703,172.45356093455254,252.36208770654852,207.17458907960858,215.63282840724457
B_log_ret_hist_funct_nrmse,0.341152,0.041171,0.39052785620555835,0.3243293793304148,0.37153916584146607,0.3474323003922257,0.27193264927539235
B_log_ret_hist_der_nrmse,5.795637,0.778962,6.827353500352206,5.461793135162332,6.21189228133006,5.967996371568788,4.509151157983685
B_log_ret_hist_sec_der_nrmse,19.747831,2.94431,23.533840851316707,18.62653194733845,21.158600872363426,20.66462908814489,14.755553267112742
B_log_ret_hist_funct_cvar90,0.823273,0.107756,0.9170721106353789,0.7502731065392704,0.9359899956021915,0.8621334600429187,0.6508962714438399
B_log_ret_hist_funct_cvar95,1.039551,0.174399,1.2212116647387603,0.933514898729679,1.2359604125686026,1.030524533704696,0.776543750185907
B_qq_plot_funct,0.0,0.0,2.0838827143122426e-09,4.004827535480768e-09,2.8346006647622336e-09,2.2776377185045044e-09,2.3320056414701987e-09
B_qq_plot_der,0.0,0.0,6.544786524391018e-10,1.4552562424918843e-09,3.7575480864479655e-10,1.257059301879516e-09,8.562752742774515e-10
B_qq_plot_sec_der,0.0,0.0,1.385505766981186e-09,1.7635716113873993e-09,6.795037640734721e-10,1.6190174395580554e-09,1.9778728002680814e-09
B_qq_plot_funct_pct,0.419907,0.038345,0.3580995722487359,0.4138451073710938,0.4381865467356215,0.4757741613821209,0.41363156576433613
B_qq_plot_der_pct,1.167409,0.079907,1.1938492229030078,1.0885407512128222,1.17853559210221,1.2976717822307133,1.0784474572468699
B_qq_plot_sec_der_pct,57.17386,10.114672,43.70991031939343,52.69714141724619,57.935599302169706,74.76543384534949,56.761217340073465
B_qq_plot_funct_nrmse,0.080849,0.009916,0.07147333728509023,0.0990830425439387,0.0833591672032041,0.07472221684649161,0.07560877873497257
B_qq_plot_der_nrmse,0.235831,0.053856,0.20405577449623388,0.30427823047008307,0.15461563913886142,0.2827997554146066,0.2334037601457267
B_qq_plot_sec_der_nrmse,0.618857,0.104501,0.6062092846941438,0.6839352131938142,0.42453582853281563,0.6553060511068894,0.724298513465455
B_qq_plot_funct_cvar90,0.101555,0.017622,0.08983992723501616,0.13454417899811574,0.09828455267101362,0.08376929103740156,0.10133754784508811
B_qq_plot_funct_cvar95,0.12425,0.021174,0.09831634120593571,0.16165860541886107,0.11305651617641943,0.11940084144328779,0.12881539151178917
