step,train_bce
50,0.697587
100,0.692326
150,0.692158
200,0.69418
250,0.694312
300,0.69326
350,0.692692
400,0.696845
450,0.69335
500,0.69251
550,0.694427
600,0.693424
650,0.693361
700,0.692747
750,0.693409
800,0.692739
850,0.693156
900,0.6934
950,0.693189
1000,0.692633
1050,0.691994
1100,0.693099
1150,0.693158
1200,0.693338
1250,0.692821
1300,0.693053
1350,0.693483
1400,0.693475
1450,0.693081
1500,0.693823
1550,0.693214
1600,0.692317
1650,0.689939
1700,0.693376
1750,0.692623
1800,0.692753
1850,0.693026
1900,0.691568
1950,0.693479
2000,0.692777
