step,train_bce
50,0.692552
100,0.693142
150,0.693074
200,0.692198
250,0.694457
300,0.695276
350,0.696692
400,0.692822
450,0.692859
500,0.691821
550,0.693091
600,0.693062
650,0.690599
700,0.692472
750,0.694781
800,0.692765
850,0.693456
900,0.693228
950,0.692247
1000,0.695069
1050,0.694631
1100,0.689777
1150,0.692839
1200,0.693718
1250,0.692756
1300,0.692856
1350,0.691285
1400,0.69157
1450,0.693354
1500,0.693269
1550,0.692656
1600,0.693865
1650,0.692589
1700,0.694387
1750,0.692973
1800,0.692893
1850,0.693798
1900,0.693406
1950,0.692334
2000,0.694056
