step,train_bce
50,0.694383
100,0.693242
150,0.695291
200,0.691813
250,0.690932
300,0.692798
350,0.697402
400,0.692727
450,0.693025
500,0.693428
550,0.69251
600,0.693649
650,0.693602
700,0.693739
750,0.691589
800,0.693007
850,0.694277
900,0.693026
950,0.692958
1000,0.693305
1050,0.693559
1100,0.692516
1150,0.693058
1200,0.693056
1250,0.6932
1300,0.692767
1350,0.693133
1400,0.692694
1450,0.694576
1500,0.693466
1550,0.695662
1600,0.693784
1650,0.69328
1700,0.693048
1750,0.69648
1800,0.692927
1850,0.693171
1900,0.69292
1950,0.6931
2000,0.693137
