step,train_bce
50,0.691171
100,0.693494
150,0.693043
200,0.693035
250,0.692932
300,0.694144
350,0.693501
400,0.693747
450,0.693035
500,0.693022
550,0.695463
600,0.691656
650,0.693505
700,0.693188
750,0.693032
800,0.693755
850,0.692697
900,0.693032
950,0.693158
1000,0.695521
1050,0.693183
1100,0.693143
1150,0.692566
1200,0.692755
1250,0.693534
1300,0.69357
1350,0.693163
1400,0.693083
1450,0.692979
1500,0.692637
1550,0.693369
1600,0.692626
1650,0.693261
1700,0.691883
1750,0.693027
1800,0.693098
1850,0.693675
1900,0.69362
1950,0.692547
2000,0.692477
