step,train_bce
50,0.692049
100,0.694006
150,0.692945
200,0.691424
250,0.693176
300,0.690326
350,0.692459
400,0.69056
450,0.693306
500,0.693948
550,0.695593
600,0.692803
650,0.69331
700,0.691045
750,0.69321
800,0.693756
850,0.693114
900,0.692999
950,0.693911
1000,0.692384
1050,0.692703
1100,0.691769
1150,0.694583
1200,0.693131
1250,0.693145
1300,0.693415
1350,0.696704
1400,0.693153
1450,0.695177
1500,0.693042
1550,0.691816
1600,0.693724
1650,0.693902
1700,0.69252
1750,0.692733
1800,0.690601
1850,0.692964
1900,0.693525
1950,0.693265
2000,0.692685
