step,train_bce
50,0.69181
100,0.690511
150,0.69418
200,0.693046
250,0.693314
300,0.692348
350,0.693406
400,0.692097
450,0.695421
500,0.693773
550,0.693683
600,0.694044
650,0.692413
700,0.692008
750,0.693045
800,0.693166
850,0.69323
900,0.693562
950,0.693146
1000,0.694388
1050,0.693352
1100,0.693102
1150,0.690659
1200,0.693766
1250,0.694367
1300,0.693372
1350,0.692596
1400,0.693605
1450,0.694983
1500,0.693856
1550,0.692634
1600,0.693148
1650,0.693706
1700,0.692565
1750,0.693184
1800,0.693665
1850,0.691139
1900,0.69402
1950,0.69361
2000,0.693144
