step,phase,loss_total
0,diffusion,1.0038294792175293
100,diffusion,0.06647063791751862
200,diffusion,0.07152411341667175
300,diffusion,0.05802305042743683
400,diffusion,0.058320410549640656
500,diffusion,0.06155460327863693
600,diffusion,0.06352473795413971
700,diffusion,0.07447893917560577
800,diffusion,0.06466667354106903
900,diffusion,0.06541301310062408
1000,diffusion,0.0805317610502243
1100,diffusion,0.06629805266857147
1200,diffusion,0.06636942923069
1300,diffusion,0.04565250873565674
1400,diffusion,0.06909885257482529
1500,diffusion,0.06376895308494568
1600,diffusion,0.0678669884800911
1700,diffusion,0.06775527447462082
1800,diffusion,0.06186295300722122
1900,diffusion,0.06749612838029861
2000,diffusion,0.057122670114040375
2100,diffusion,0.05683375522494316
2200,diffusion,0.052482061088085175
2300,diffusion,0.057063765823841095
2400,diffusion,0.052230097353458405
2500,diffusion,0.04908362776041031
2600,diffusion,0.06047701835632324
2700,diffusion,0.06507860124111176
2800,diffusion,0.05271979421377182
2900,diffusion,0.057202234864234924
3000,diffusion,0.052478350698947906
3100,diffusion,0.0504007488489151
3200,diffusion,0.04730520769953728
3300,diffusion,0.07187852263450623
3400,diffusion,0.056764453649520874
3500,diffusion,0.05277969315648079
3600,diffusion,0.06390039622783661
3700,diffusion,0.05040384829044342
3800,diffusion,0.05808337405323982
3900,diffusion,0.044422827661037445
4000,diffusion,0.05985426902770996
4100,diffusion,0.050153862684965134
4200,diffusion,0.07347463816404343
4300,diffusion,0.055938925594091415
4400,diffusion,0.07336482405662537
4500,diffusion,0.05499250069260597
4600,diffusion,0.05652744695544243
4700,diffusion,0.04942092299461365
4800,diffusion,0.06089116632938385
4900,diffusion,0.07544709742069244
5000,diffusion,0.06045512109994888
5100,diffusion,0.05351986736059189
5200,diffusion,0.06513528525829315
5300,diffusion,0.0492432601749897
5400,diffusion,0.04734523594379425
5500,diffusion,0.06474132090806961
5600,diffusion,0.056022029370069504
5700,diffusion,0.059772711247205734
5800,diffusion,0.05980348214507103
5900,diffusion,0.07131931185722351
6000,diffusion,0.0649893581867218
6100,diffusion,0.06258304417133331
6200,diffusion,0.05836196616292
6300,diffusion,0.05717737600207329
6400,diffusion,0.05451804772019386
6500,diffusion,0.06103072315454483
6600,diffusion,0.05474993586540222
6700,diffusion,0.04490303620696068
6800,diffusion,0.06144896149635315
6900,diffusion,0.050806477665901184
7000,diffusion,0.056854911148548126
7100,diffusion,0.054062481969594955
7200,diffusion,0.07731639593839645
7300,diffusion,0.042003050446510315
7400,diffusion,0.05012984573841095
7500,diffusion,0.05786503478884697
7600,diffusion,0.0635027289390564
7700,diffusion,0.08143097162246704
7800,diffusion,0.059973426163196564
7900,diffusion,0.04231725260615349
8000,diffusion,0.06184530630707741
8100,diffusion,0.05973300710320473
8200,diffusion,0.05569035932421684
8300,diffusion,0.03757977858185768
8400,diffusion,0.05150946229696274
8500,diffusion,0.04676267132163048
8600,diffusion,0.053958989679813385
8700,diffusion,0.05637713521718979
8800,diffusion,0.05780019611120224
8900,diffusion,0.05244540795683861
9000,diffusion,0.06605705618858337
9100,diffusion,0.04345063865184784
9200,diffusion,0.07254234701395035
9300,diffusion,0.06488156318664551
9400,diffusion,0.06132294237613678
9500,diffusion,0.06245777755975723
9600,diffusion,0.06449050456285477
9700,diffusion,0.05686194822192192
9800,diffusion,0.06498817354440689
9900,diffusion,0.06920456886291504
10000,diffusion,0.06048693507909775
10100,diffusion,0.04088098555803299
10200,diffusion,0.05709134042263031
10300,diffusion,0.06491966545581818
10400,diffusion,0.04721543937921524
10500,diffusion,0.04152720421552658
10600,diffusion,0.0611371286213398
10700,diffusion,0.054607801139354706
10800,diffusion,0.07809561491012573
10900,diffusion,0.05051126331090927
11000,diffusion,0.04148535430431366
11100,diffusion,0.05778912454843521
11200,diffusion,0.05479028820991516
11300,diffusion,0.04961414635181427
11400,diffusion,0.04510645568370819
11500,diffusion,0.0553538016974926
11600,diffusion,0.076958566904068
11700,diffusion,0.0654938668012619
11800,diffusion,0.05439751595258713
11900,diffusion,0.04124303162097931
12000,diffusion,0.04836302995681763
12100,diffusion,0.056392934173345566
12200,diffusion,0.0562082901597023
12300,diffusion,0.05992187559604645
12400,diffusion,0.05743909999728203
12500,diffusion,0.05317532271146774
12600,diffusion,0.06318500638008118
12700,diffusion,0.06192346662282944
12800,diffusion,0.06589926034212112
12900,diffusion,0.05863184481859207
13000,diffusion,0.05779404938220978
13100,diffusion,0.05852183699607849
13200,diffusion,0.04761425405740738
13300,diffusion,0.04822726920247078
13400,diffusion,0.058209944516420364
13500,diffusion,0.05903560295701027
13600,diffusion,0.051384083926677704
13700,diffusion,0.04802130162715912
13800,diffusion,0.05944494158029556
13900,diffusion,0.07394630461931229
14000,diffusion,0.05913703888654709
14100,diffusion,0.06325135380029678
14200,diffusion,0.060300011187791824
14300,diffusion,0.0435141995549202
14400,diffusion,0.042525336146354675
14500,diffusion,0.05619204789400101
14600,diffusion,0.05684996396303177
14700,diffusion,0.052329979836940765
14800,diffusion,0.05904000252485275
14900,diffusion,0.05442887172102928
14999,diffusion,0.06088797748088837
