step,train_bce
50,0.695535
100,0.691642
150,0.693796
200,0.69711
250,0.694085
300,0.692974
350,0.693075
400,0.696818
450,0.693249
500,0.693741
550,0.693127
600,0.693685
650,0.692216
700,0.693105
750,0.692604
800,0.692239
850,0.693244
900,0.693127
950,0.69222
1000,0.693045
1050,0.692417
1100,0.695625
1150,0.692274
1200,0.692631
1250,0.693441
1300,0.693148
1350,0.693003
1400,0.693411
1450,0.692726
1500,0.692756
1550,0.69193
1600,0.692636
1650,0.692864
1700,0.6902
1750,0.6913
1800,0.693478
1850,0.693064
1900,0.693186
1950,0.693378
2000,0.694025
