step,train_bce
50,0.692879
100,0.694218
150,0.694347
200,0.695891
250,0.693433
300,0.69266
350,0.69268
400,0.693306
450,0.693935
500,0.698364
550,0.693147
600,0.693085
650,0.694204
700,0.694014
750,0.692721
800,0.693758
850,0.693364
900,0.693215
950,0.692922
1000,0.696293
1050,0.6956
1100,0.693395
1150,0.695067
1200,0.691922
1250,0.692914
1300,0.69426
1350,0.693489
1400,0.69323
1450,0.693512
1500,0.692801
1550,0.694133
1600,0.6925
1650,0.693057
1700,0.69327
1750,0.693033
1800,0.69347
1850,0.692831
1900,0.694143
1950,0.693115
2000,0.692854
