metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,18.40782,16.217327,15.301753303041767,0.21615518075348916,48.808903225940625,15.94932087929211,11.7629666751711
A2_abs_r_q95_error,7.2e-05,3.4e-05,5.53649919237606e-05,8.062009556288746e-05,9.892640038677847e-05,1.474373601522555e-05,0.00011071684183919239
A3_abs_r_q99_error,0.000217,0.000119,0.00031112945681219945,0.0002051829697238064,3.2247432430444756e-05,0.000164221798030606,0.0003733950095413316
A4_tail_qq_error,8.7e-05,1.9e-05,8.806258416512621e-05,8.77849188773483e-05,7.549822100866784e-05,6.216156797741491e-05,0.00011929618924881001
A5_hill_tail_index_error,0.175861,0.113021,0.3070053842553655,0.1768722639631779,0.015600682740688043,0.08844869041178782,0.2913786501150053
A6_path_mmd2,0.001768,0.000276,0.0021309712885312915,0.0013584450740266596,0.001885938978501367,0.0015519120935519326,0.001915202262378124
A7_terminal_mmd2,0.001394,0.000265,0.0011664166787715424,0.0013573350430079456,0.0015722048061050375,0.0017992014305364123,0.0010755509127657326
A8_increment_mmd2,0.000856,6.4e-05,0.0009089625094524934,0.0007873769814950027,0.000842103343509315,0.000790762220875596,0.0009496476937669307
A9_volatility_mmd,0.008859,0.000898,0.009538539724756101,0.007464844065605547,0.00938178226649028,0.00813870441139719,0.009770632511919897
A10_terminal_swd,1.057191,0.289553,1.2851384692677734,0.6088925884694555,1.4393733314166812,1.0359166554479773,0.9166329010012734
A11_path_swd,0.774511,0.244154,1.2385618372890836,0.5207898168058458,0.7464891923431294,0.6617394719846621,0.7049758018921404
A12_rv_law_loss,0.122529,0.015518,0.10921860160789602,0.11045104343717967,0.12714334605144262,0.11497288849755864,0.1508597714791931
A13_mean_path_rmse,0.204231,0.055552,0.13398902064457,0.15846077037139472,0.2606288822676087,0.19254221976588848,0.27553443613807427
A14_ks_logreturns,0.001608,0.00038,0.002166507750984259,0.001361035925196874,0.0019512026328739607,0.001189945250984148,0.0013706477608267376
A15_skewness_error,0.018505,0.008533,0.010400363416481387,0.03410203626447677,0.011411188120398319,0.019845190585764193,0.016764167947394486
A16_qq_rmse,6.2e-05,1.2e-05,6.805143871867015e-05,5.7389925967171383e-05,7.240453997910094e-05,4.096244184779671e-05,7.267918271203161e-05
A17_terminal_ks,0.010254,0.002166,0.0076904296875,0.0078125,0.012451171875,0.0106201171875,0.0126953125
A18_disc_score_gru,0.005767,0.003995,0.009002,0.000153,0.001678,0.008697,0.009307
A18_disc_score_mlp,0.003753,0.001825,0.006866,0.002289,0.001678,0.003509,0.004425
A19_pred_score_gru,0.022483,3.6e-05,0.022522,0.022485,0.022523,0.022444,0.022442
A19_pred_score_mlp,0.02249,0.000169,0.022373,0.022376,0.022378,0.022513,0.02281
A20_cov_error,23.447726,15.475897,14.064935251699978,4.162989484010154,45.13959443201105,15.91938323865412,37.95172611607762
A21_acf_abs,0.00102,0.000455,0.0006518536421413305,0.001834909930958431,0.0011758752211706545,0.0005955494168712813,0.0008395347557807187
A22_acf_sq,0.001201,0.000308,0.0008853153274907266,0.0013385932554221894,0.001533943747468,0.0007827483745384018,0.0014642229737994172
A23_acf_lag1_abs_error,0.001032,0.0009,0.0015782924145404942,0.0025437441834009755,0.0003669831466138196,0.0005047410816991782,0.00016694424705632205
A24_acf_lag1_sq_error,0.001372,0.000576,0.0012256583483571948,0.0018793449189341838,0.0021300440754066785,0.0005135961557967972,0.0011088903472524503
A25_mean_rmse,0.14112,0.074775,0.17037160176587918,0.08548769061928851,0.2128444072013309,0.024020818548450507,0.21287680368521933
A26_std_error,0.017618,0.007981,0.021302314964105618,0.001984445062340967,0.020069093915875413,0.020202752100169308,0.02453113912793592
A27_logreturn_std_error,6.3e-05,3.5e-05,5.560394237542378e-05,6.443571575736294e-05,6.60245111381106e-05,9.547483535161938e-06,0.00011969034944217007
A28_kurtosis_ratio,0.976711,0.025963,0.9959993959385488,0.9905068149662695,0.9863590024685075,0.9853625598332726,0.9253293307295954
A29_sigma_mean_error,0.000902,0.000395,0.0011734153726298824,0.00060953166531591,0.0013140418595585235,0.00027447975781819123,0.0011398034684466929
A30_vol_path_rmse,0.404985,0.088977,0.3104529542063719,0.315262120323091,0.5243420447978612,0.4933194230580778,0.3815509148016062
A31_rolling_vol_ks,0.003075,0.000982,0.004304219067581272,0.002056338922764245,0.004232763274898355,0.0023808673145324644,0.00240270102896345
A32_vol_of_vol_error,4.3e-05,3.7e-05,2.028799008106305e-05,4.424606948365273e-05,2.5819826749384073e-05,1.0724932693573566e-05,0.00011287540215609501
A33_sigma_corr,,,,,,,
A34_sigma_rmse,,,,,,,
B_log_ret_hist_funct,0.023642,0.004736,0.029319227768410627,0.019023740129627473,0.029263131758220973,0.018772740151365604,0.021833285596562155
B_log_ret_hist_der,0.036167,0.006962,0.023317449184117704,0.03430115086335225,0.04011761240951522,0.04122335442153454,0.04187435947274773
