step,train_bce
50,0.693132
100,0.695861
150,0.693739
200,0.693179
250,0.69341
300,0.691263
350,0.692416
400,0.693181
450,0.693187
500,0.693735
550,0.694028
600,0.69305
650,0.6937
700,0.693037
750,0.693074
800,0.692144
850,0.693973
900,0.691271
950,0.693607
1000,0.693037
1050,0.694448
1100,0.693028
1150,0.69339
1200,0.694431
1250,0.693692
1300,0.693685
1350,0.693332
1400,0.690295
1450,0.692718
1500,0.693256
1550,0.693402
1600,0.693066
1650,0.693027
1700,0.69309
1750,0.692063
1800,0.693084
1850,0.692221
1900,0.693799
1950,0.693158
2000,0.696693
