step,train_bce
50,0.694116
100,0.693496
150,0.693327
200,0.693365
250,0.694194
300,0.697452
350,0.693168
400,0.693268
450,0.693558
500,0.691114
550,0.693246
600,0.691955
650,0.69208
700,0.693186
750,0.693186
800,0.693432
850,0.693179
900,0.692473
950,0.693297
1000,0.693384
1050,0.692798
1100,0.693445
1150,0.692656
1200,0.693157
1250,0.693047
1300,0.693812
1350,0.69365
1400,0.693303
1450,0.693082
1500,0.693366
1550,0.693039
1600,0.693534
1650,0.693094
1700,0.693086
1750,0.69307
1800,0.693472
1850,0.69273
1900,0.693203
1950,0.693207
2000,0.693538
