step,train_bce
50,0.692778
100,0.693285
150,0.694491
200,0.700012
250,0.692358
300,0.695724
350,0.695817
400,0.692673
450,0.692676
500,0.690196
550,0.692338
600,0.693194
650,0.693321
700,0.692503
750,0.69124
800,0.693111
850,0.694416
900,0.692317
950,0.691949
1000,0.693581
1050,0.693728
1100,0.692732
1150,0.693528
1200,0.693539
1250,0.692348
1300,0.693469
1350,0.693196
1400,0.693164
1450,0.693673
1500,0.692881
1550,0.694129
1600,0.69313
1650,0.693075
1700,0.69322
1750,0.693292
1800,0.694175
1850,0.693153
1900,0.69373
1950,0.693137
2000,0.690955
