step,train_bce
50,0.693141
100,0.691026
150,0.692677
200,0.693483
250,0.693049
300,0.694671
350,0.693598
400,0.692205
450,0.692525
500,0.691493
550,0.693792
600,0.694626
650,0.694028
700,0.693036
750,0.693177
800,0.693048
850,0.69303
900,0.693092
950,0.695224
1000,0.693331
1050,0.693818
1100,0.692729
1150,0.693289
1200,0.693034
1250,0.694368
1300,0.693126
1350,0.693272
1400,0.692205
1450,0.693833
1500,0.693599
1550,0.693271
1600,0.693095
1650,0.692901
1700,0.693602
1750,0.693712
1800,0.693428
1850,0.693107
1900,0.693383
1950,0.693286
2000,0.694013
