step,phase,loss_total,objective,grad_norm,control_rms,elapsed_sec
1,train,1879.2706298828125,18.183464119571326,8.710691221031587,0.362397164106369,4.732460208935663
100,train,411.0679931640625,2.8615115156426327,1.5318650206330884,0.2442340850830078,253.01659051305614
200,train,558.5223999023438,2.821580572926905,1.8676692741782972,0.2945503890514374,496.5797165390104
300,train,425.44696044921875,2.711791710011312,2.2752519467890115,0.27470409870147705,739.6395415039733
400,train,908.1618041992188,4.940780399752839,3.60645138853486,0.21188224852085114,982.6048925619107
500,train,559.1160278320312,2.635577889290289,2.2461515654848565,0.27128008008003235,1225.5825254239608
600,train,492.51800537109375,2.9909021981839032,2.470628349097291,0.28606894612312317,1468.8385484288447
700,train,541.6901245117188,2.5486837747812388,0.8688458993241791,0.2552792727947235,1712.1486943538766
800,train,588.915771484375,11.987368825175508,5.720620158074339,0.3724687397480011,1955.1610074329656
900,train,292.2878723144531,2.423449262038048,1.1165097889430926,0.2516816258430481,2198.8843255010433
1000,train,747.1143188476562,5.7858043270716735,3.492561047684763,0.3213432729244232,2442.6275731369387
1100,train,150.0517578125,1.8715198615318513,1.0817112429347016,0.2606591582298279,2686.2140505919233
1200,train,1486.0484619140625,4.690371362918086,3.60519043794854,0.21350324153900146,2931.862568889046
1300,train,226.1214599609375,1.993409405964485,0.6779613688286742,0.26302772760391235,3177.291520109866
1400,train,333.171142578125,1.7724421368548064,0.863390965822737,0.24404014647006989,3422.5436395320576
1500,train,755.064208984375,3.670105926161341,2.6952035668839023,0.22394602000713348,3668.2824838939123
1600,train,427.377197265625,3.1219471091244486,1.399149271531258,0.24572592973709106,3913.858181363903
1700,train,489.3384094238281,2.7692742011749942,1.2701066879195688,0.25106826424598694,4158.808267447865
1800,train,528.3524780273438,6.987844510931609,5.092712791791867,0.32340896129608154,4404.300566002959
1900,train,493.9646911621094,6.018839000436856,4.539700108104602,0.3203922212123871,4649.435043115867
2000,train,573.4683837890625,4.451442610738013,3.1671752025357502,0.21785500645637512,4894.733532192884
2100,train,1110.5762939453125,12.696086006748374,7.234544679333383,0.3495803475379944,5140.2348496150225
2200,train,352.4952392578125,3.328048230123386,1.3500156573022755,0.27538448572158813,5385.892295846017
2300,train,367.8620300292969,3.9532308213747456,3.0836868606864116,0.2902044355869293,5631.588461451
2400,train,579.8700561523438,3.8493227159488015,2.4602934805352397,0.22799918055534363,5877.202262246981
2500,train,582.4401245117188,9.83615264972832,6.01463654295143,0.34587979316711426,6122.985212591011
2600,train,619.8018188476562,2.259081216972845,1.2415762226551208,0.24088171124458313,6369.205126950983
2700,train,499.2777404785156,5.580479616117373,5.335650623396617,0.3122809827327728,6614.917652847944
2800,train,445.1636962890625,3.3801450659339025,1.760980036381802,0.3166755139827728,6860.913507051999
2900,train,398.8214111328125,7.045756349769363,4.696831101880519,0.3455432951450348,7106.9780948469415
3000,train,810.4806518554688,3.5727407544327434,2.69481494538978,0.23505283892154694,7310.103241253877
